discipline,Competitor,DOB,Mark,WIND,Nat,Venue,Meeting,Date,year,Pos,tier,group,competitionId,source
men_DT,Matthew DENNY,02 JUN 1996,68.74,,AUS,"Domain Athletic Centre, Hobart (AUS)",Hobart Track Classic,28 FEB 2026,2026,1.,C,Continental Tour,7232365,worldwide
men_DT,Connor BELL,21 JUN 2001,59.06,,NZL,"Douglas Track & Field, Auckland (NZL)",New Zealand Track & Field Championships,07 MAR 2026,2026,1.,B,National Championships,7235518,worldwide
men_DT,Alex ROSE,17 NOV 1991,62.77,,SAM,"Douglas Track & Field, Auckland (NZL)",New Zealand Track & Field Championships,07 MAR 2026,2026,OC,B,National Championships,7235518,worldwide
men_DT,Matthew DENNY,02 JUN 1996,67.99,,AUS,"SA Athletic Stadium, Adelaide (AUS)",Adelaide Invitational,14 MAR 2026,2026,1.,C,Continental Tour,7232366,worldwide
men_DT,Lawrence OKOYE,06 OCT 1991,65.28,,GBR,"SA Athletic Stadium, Adelaide (AUS)",Adelaide Invitational,14 MAR 2026,2026,2.,C,Continental Tour,7232366,worldwide
men_DT,Chad WRIGHT,25 MAR 1991,62.25,,JAM,"National Stadium, Kingston (JAM)",Velocity Fest #18,21 MAR 2026,2026,1.,D,Continental Tour,7237812,worldwide
men_DT,Matthew DENNY,02 JUN 1996,67.51,,AUS,"Lakeside Stadium, Melbourne (AUS)",Maurie Plant Meet,28 MAR 2026,2026,1.,A,Continental Tour,7232016,worldwide
men_DT,Lawrence OKOYE,06 OCT 1991,65.09,,GBR,"Lakeside Stadium, Melbourne (AUS)",Maurie Plant Meet,28 MAR 2026,2026,2.,A,Continental Tour,7232016,worldwide
men_DT,Roje STONA,26 FEB 1999,64.6,,JAM,"Lakeside Stadium, Melbourne (AUS)",Maurie Plant Meet,28 MAR 2026,2026,3.,A,Continental Tour,7232016,worldwide
men_DT,Claudio ROMERO,10 JUL 2000,62.31,,CHI,"Lakeside Stadium, Melbourne (AUS)",Maurie Plant Meet,28 MAR 2026,2026,4.,A,Continental Tour,7232016,worldwide
men_DT,Mason PHILLIPS,,41.05,,USA,"Cougar Athletic Stadium, Azusa, CA (USA)",Bryan Clay Invitational,18 APR 2026,2026,21.,D,Continental Tour,7237976,worldwide
men_DT,Matthew DENNY,02 JUN 1996,73.58,,AUS,"Millican Field at Throw Town, Ramona, OK (USA)",Oklahoma Throws Series World Invitational,11 APR 2026,2026,1.,C,Continental Tour,7236488,worldwide
men_DT,Steven RICHTER,05 APR 2003,72.47,,GER,"Millican Field at Throw Town, Ramona, OK (USA)",Oklahoma Throws Series World Invitational,11 APR 2026,2026,2.,C,Continental Tour,7236488,worldwide
men_DT,Lawrence OKOYE,06 OCT 1991,71.88,,GBR,"Millican Field at Throw Town, Ramona, OK (USA)",Oklahoma Throws Series World Invitational,11 APR 2026,2026,3.,C,Continental Tour,7236488,worldwide
men_DT,Kristjan ČEH,17 FEB 1999,70.94,,SLO,"Millican Field at Throw Town, Ramona, OK (USA)",Oklahoma Throws Series World Invitational,11 APR 2026,2026,4.,C,Continental Tour,7236488,worldwide
men_DT,Sam MATTIS,19 MAR 1994,69.75,,USA,"Millican Field at Throw Town, Ramona, OK (USA)",Oklahoma Throws Series World Invitational,11 APR 2026,2026,5.,C,Continental Tour,7236488,worldwide
men_DT,Roje STONA,26 FEB 1999,68.47,,JAM,"Millican Field at Throw Town, Ramona, OK (USA)",Oklahoma Throws Series World Invitational,11 APR 2026,2026,6.,C,Continental Tour,7236488,worldwide
men_DT,Alex ROSE,17 NOV 1991,68.17,,SAM,"Millican Field at Throw Town, Ramona, OK (USA)",Oklahoma Throws Series World Invitational,11 APR 2026,2026,7.,C,Continental Tour,7236488,worldwide
men_DT,Reggie JAGERS III,13 AUG 1994,64.2,,USA,"Millican Field at Throw Town, Ramona, OK (USA)",Oklahoma Throws Series World Invitational,11 APR 2026,2026,8.,C,Continental Tour,7236488,worldwide
men_DT,Claudio ROMERO,10 JUL 2000,63.63,,CHI,"Pista Atlética Mario Recordón, Santiago de Chile (CHI)",Chilean Championships,11 APR 2026,2026,1.,B,National Championships,7236143,worldwide
men_DT,Lucas NERVI,31 AUG 2001,61.33,,CHI,"Pista Atlética Mario Recordón, Santiago de Chile (CHI)",Chilean Championships,11 APR 2026,2026,2.,B,National Championships,7236143,worldwide
men_DT,Yuji TSUTSUMI,22 DEC 1989,58.06,,JPN,"The Kallang - Singapore Sports Hub, Singapore (SGP)",86th Singaporean Championships,16 APR 2026,2026,OC,B,National Championships,7240277,worldwide
