discipline,Competitor,DOB,Mark,WIND,Nat,Venue,Meeting,Date,year,Pos,tier,group,competitionId,source
men_HJ,Yual REATH,18 MAY 2000,2.22,,AUS,"WA Athletics Stadium, Perth (AUS)",Perth Track Classic,14 FEB 2026,2026,1.0,C,Continental Tour,7232367,worldwide
men_HJ,Kaisei NAKATANI,08 OCT 2006,1.95,,JPN,"Nga Puna Wai Sports Hub, Christchurch (NZL)",International Track Meet,21 FEB 2026,2026,4.0,C,Continental Tour,7230815,worldwide
men_HJ,Hamish KERR,17 AUG 1996,2.28,,NZL,"Douglas Track & Field, Auckland (NZL)",New Zealand Track & Field Championships,07 MAR 2026,2026,1.0,B,National Championships,7235518,worldwide
men_HJ,Yual REATH,18 MAY 2000,2.18,,AUS,"SA Athletic Stadium, Adelaide (AUS)",Adelaide Invitational,14 MAR 2026,2026,1.0,C,Continental Tour,7232366,worldwide
men_HJ,Lushane WILSON,11 SEP 1998,2.15,,JAM,"National Stadium, Kingston (JAM)",Velocity Fest #18,21 MAR 2026,2026,1.0,D,Continental Tour,7237812,worldwide
men_HJ,Tomohiro SHINNO,17 AUG 1996,2.18,,JPN,"Lakeside Stadium, Melbourne (AUS)",Maurie Plant Meet,27 MAR 2026,2026,1.0,A,Continental Tour,7232016,worldwide
men_HJ,Roman ANASTASIOS,09 JUN 2002,2.18,,AUS,"Lakeside Stadium, Melbourne (AUS)",Maurie Plant Meet,27 MAR 2026,2026,2.0,A,Continental Tour,7232016,worldwide
men_HJ,Naoto HASEGAWA,15 NOV 1996,2.18,,JPN,"Lakeside Stadium, Melbourne (AUS)",Maurie Plant Meet,27 MAR 2026,2026,3.0,A,Continental Tour,7232016,worldwide
men_HJ,Yual REATH,18 MAY 2000,2.15,,AUS,"Lakeside Stadium, Melbourne (AUS)",Maurie Plant Meet,27 MAR 2026,2026,4.0,A,Continental Tour,7232016,worldwide
men_HJ,Joel BADEN,01 FEB 1996,2.15,,AUS,"Lakeside Stadium, Melbourne (AUS)",Maurie Plant Meet,27 MAR 2026,2026,5.0,A,Continental Tour,7232016,worldwide
men_HJ,Antrea MITA,04 MAY 2005,2.16,,GRE,"Cushing Stadium, College Station, TX (USA)",44 Farms Team Invitational,11 APR 2026,2026,1.0,D,Continental Tour,7230712,worldwide
men_HJ,Etoro BASSEY,11 JUN 2007,2.11,,USA,"Cushing Stadium, College Station, TX (USA)",44 Farms Team Invitational,11 APR 2026,2026,2.0,D,Continental Tour,7230712,worldwide
men_HJ,Ali Eren ÜNLÜ,14 MAY 2003,2.11,,TUR,"Cushing Stadium, College Station, TX (USA)",44 Farms Team Invitational,11 APR 2026,2026,4.0,D,Continental Tour,7230712,worldwide
men_HJ,Hamdi ALI,15 APR 1997,2.15,,QAT,"Cougar Athletic Stadium, Azusa, CA (USA)",Bryan Clay Invitational,17 APR 2026,2026,1.0,D,Continental Tour,7237976,worldwide
men_HJ,Roman ANASTASIOS,09 JUN 2002,2.2,,AUS,"Olympic Park, Sydney (AUS)",Australian Championships,11 APR 2026,2026,1.0,B,National Championships,7232772,worldwide
men_HJ,Yual REATH,18 MAY 2000,2.16,,AUS,"Olympic Park, Sydney (AUS)",Australian Championships,11 APR 2026,2026,2.0,B,National Championships,7232772,worldwide
men_HJ,Brandon STARC,24 NOV 1993,2.12,,AUS,"Olympic Park, Sydney (AUS)",Australian Championships,11 APR 2026,2026,3.0,B,National Championships,7232772,worldwide
men_HJ,Breyton POOLE,23 MAR 2000,2.15,,RSA,"Hoërskool Stadium, Stellenbosch (RSA)",Cape Miller Continental Tour,10 APR 2026,2026,1.0,D,Continental Tour,7237030,worldwide
men_HJ,Keegan FOURIE,07 SEP 1991,2.0,,RSA,"Hoërskool Stadium, Stellenbosch (RSA)",Cape Miller Continental Tour,10 APR 2026,2026,3.0,D,Continental Tour,7237030,worldwide
men_HJ,Shaun MILLER JR.,30 JUL 2001,2.09,,BAH,"Percy Beard Track, Gainesville, FL (USA)",Tom Jones Memorial,17 APR 2026,2026,4.0,D,Continental Tour,7235850,worldwide
men_HJ,Kudakwashe CHADENGA,28 OCT 2002,2.01,,ZIM,"Percy Beard Track, Gainesville, FL (USA)",Tom Jones Memorial,17 APR 2026,2026,12.0,D,Continental Tour,7235850,worldwide
men_HJ,Breyton POOLE,23 MAR 2000,2.0,,RSA,"Coetzenburg Stadium, Stellenbosch (RSA)",South African Championships,17 APR 2026,2026,2.0,B,National Championships,7237289,worldwide
men_HJ,Raymond RICHARDS,28 APR 2001,2.2,,JAM,"National Stadium, Kingston (JAM)",Velocity Fest #19,19 APR 2026,2026,1.0,D,Continental Tour,7238860,worldwide
men_HJ,Lushane WILSON,11 SEP 1998,2.05,,JAM,"National Stadium, Kingston (JAM)",Velocity Fest #19,19 APR 2026,2026,2.0,D,Continental Tour,7238860,worldwide
men_HJ,Long CHEN,13 NOV 2002,2.1,,CHN,"Zhaoqing Sports Center, Zhaoqing (CHN)",National Athletics Grand Prix 1,26 APR 2026,2026,2.0,D,Continental Tour,7239297,worldwide
men_HJ,Houcheng ZHOU,16 JUN 2004,2.1,,CHN,"Zhaoqing Sports Center, Zhaoqing (CHN)",National Athletics Grand Prix 1,26 APR 2026,2026,6.0,D,Continental Tour,7239297,worldwide
men_HJ,Breyton POOLE,23 MAR 2000,2.2,,RSA,"Pilditch Stadium, Pretoria (RSA)",Simbine Classic,28 APR 2026,2026,1.0,B,Continental Tour,7233329,worldwide
men_HJ,Scottie VINES,01 NOV 2005,2.2,,USA,"LSU Bernie Moore Stadium, Baton Rouge, LA (USA)",LSU Invitational,02 MAY 2026,2026,1.0,D,Continental Tour,7239723,worldwide
men_HJ,Kudakwashe CHADENGA,28 OCT 2002,2.02,,ZIM,"LSU Bernie Moore Stadium, Baton Rouge, LA (USA)",LSU Invitational,02 MAY 2026,2026,5.0,D,Continental Tour,7239723,worldwide
men_HJ,Cooper WILLIAMS,,2.02,,USA,"LSU Bernie Moore Stadium, Baton Rouge, LA (USA)",LSU Invitational,02 MAY 2026,2026,6.0,D,Continental Tour,7239723,worldwide
men_HJ,Sou SHIBUYA,30 JUN 1998,2.2,,JPN,"Prefectural Shizuoka Stadium, Fukuroi (JPN)",41st Shizuoka International Athletics Meet,03 MAY 2026,2026,2.0,C,Continental Tour,7238867,worldwide
men_HJ,Naoto HASEGAWA,15 NOV 1996,2.2,,JPN,"Prefectural Shizuoka Stadium, Fukuroi (JPN)",41st Shizuoka International Athletics Meet,03 MAY 2026,2026,3.0,C,Continental Tour,7238867,worldwide
men_HJ,Tomohiro SHINNO,17 AUG 1996,2.2,,JPN,"Prefectural Shizuoka Stadium, Fukuroi (JPN)",41st Shizuoka International Athletics Meet,03 MAY 2026,2026,4.0,C,Continental Tour,7238867,worldwide
men_HJ,Sota HARAGUCHI,11 OCT 2004,2.1,,JPN,"Prefectural Shizuoka Stadium, Fukuroi (JPN)",41st Shizuoka International Athletics Meet,03 MAY 2026,2026,5.0,C,Continental Tour,7238867,worldwide
men_HJ,Sho KATSUDA,07 JUN 1994,2.1,,JPN,"Prefectural Shizuoka Stadium, Fukuroi (JPN)",41st Shizuoka International Athletics Meet,03 MAY 2026,2026,7.0,C,Continental Tour,7238867,worldwide
men_HJ,Houcheng ZHOU,16 JUN 2004,2.15,,CHN,"Sports Center, Jiaxing (CHN)",National Athletics Grand Prix 2,10 MAY 2026,2026,3.0,D,Continental Tour,7239310,worldwide
men_HJ,Yuhang DUAN,16 NOV 2000,2.15,,CHN,"Sports Center, Jiaxing (CHN)",National Athletics Grand Prix 2,10 MAY 2026,2026,3.0,D,Continental Tour,7239310,worldwide
men_HJ,Sanghyeok WOO,23 APR 1996,2.27,,KOR,"Jeongseon Sports Complex, Jeongseon (KOR)",80th Korean Championships,11 MAY 2026,2026,1.0,B,National Championships,7237613,worldwide
men_HJ,Jinwoo CHOI,18 JAN 2005,2.10,,KOR,"Jeongseon Sports Complex, Jeongseon (KOR)",80th Korean Championships,11 MAY 2026,2026,3.0,B,National Championships,7237613,worldwide
men_HJ,Mutaz Essa BARSHIM,24 JUN 1991,2.16,,QAT,"Suhaim bin Hamad Stadium, Doha (QAT)",GCC Games,14 MAY 2026,2026,1.0,D,Area Regional Champs,7238929,worldwide
men_HJ,Erlend BOLSTAD RAA,31 MAR 2000,2.13,,NOR,"Andreas Vergotis Municipal Stadium, Argostoli (GRE)",Vergotia 2026,16 MAY 2026,2026,1.0,D,Continental Tour,7235078,worldwide
men_HJ,Sou SHIBUYA,30 JUN 1998,2.24,,JPN,"National Stadium, Tokyo (JPN)",SEIKO Golden Grand Prix,17 MAY 2026,2026,1.0,A,Continental Tour,7233064,worldwide
men_HJ,Chao-Hsuan FU,14 DEC 2002,2.24,,TPE,"National Stadium, Tokyo (JPN)",SEIKO Golden Grand Prix,17 MAY 2026,2026,2.0,A,Continental Tour,7233064,worldwide
men_HJ,Tomohiro SHINNO,17 AUG 1996,2.20,,JPN,"National Stadium, Tokyo (JPN)",SEIKO Golden Grand Prix,17 MAY 2026,2026,4.0,A,Continental Tour,7233064,worldwide
men_HJ,Elijah KOSIBA,03 APR 2002,2.20,,USA,"National Stadium, Tokyo (JPN)",SEIKO Golden Grand Prix,17 MAY 2026,2026,5.0,A,Continental Tour,7233064,worldwide
men_HJ,Shelby MCEWEN,06 APR 1996,2.15,,USA,"National Stadium, Tokyo (JPN)",SEIKO Golden Grand Prix,17 MAY 2026,2026,6.0,A,Continental Tour,7233064,worldwide
men_HJ,Naoto HASEGAWA,15 NOV 1996,2.15,,JPN,"National Stadium, Tokyo (JPN)",SEIKO Golden Grand Prix,17 MAY 2026,2026,7.0,A,Continental Tour,7233064,worldwide
men_HJ,Sota HARAGUCHI,11 OCT 2004,2.15,,JPN,"National Stadium, Tokyo (JPN)",SEIKO Golden Grand Prix,17 MAY 2026,2026,7.0,A,Continental Tour,7233064,worldwide
men_HJ,Sanghyeok WOO,23 APR 1996,NM,,KOR,"National Stadium, Tokyo (JPN)",SEIKO Golden Grand Prix,17 MAY 2026,2026,,A,Continental Tour,7233064,worldwide
men_HJ,Yual REATH,18 MAY 2000,NM,,AUS,"National Stadium, Tokyo (JPN)",SEIKO Golden Grand Prix,17 MAY 2026,2026,,A,Continental Tour,7233064,worldwide
men_HJ,Yuto SEKO,16 MAR 1998,NM,,JPN,"National Stadium, Tokyo (JPN)",SEIKO Golden Grand Prix,17 MAY 2026,2026,,A,Continental Tour,7233064,worldwide
