discipline,Competitor,DOB,Mark,WIND,Nat,Venue,Meeting,Date,year,Pos,tier,group,competitionId,source
men_HT,Markelo MEMA,24 MAY 2001,70.91,,ALB,"Suez Canal Authority Stadium, Ismailia (EGY)",Egypt Winter Cup,23 FEB 2026,2026,1.0,D,Continental Tour,7237631,worldwide
men_HT,Jerome VEGA,07 JUL 1995,61.52,,PUR,"Pista Basilio Rodriguez, Carolina (PUR)",20th Carolina Spring Break Camp/Classic,13 MAR 2026,2026,1.0,D,Continental Tour,7238382,worldwide
men_HT,Shota FUKUDA,28 NOV 2000,70.25,,JPN,"SA Athletic Stadium, Adelaide (AUS)",Adelaide Invitational,13 MAR 2026,2026,1.0,C,Continental Tour,7232366,worldwide
men_HT,Ryota KASHIMURA,13 AUG 1991,67.08,,JPN,"SA Athletic Stadium, Adelaide (AUS)",Adelaide Invitational,13 MAR 2026,2026,4.0,C,Continental Tour,7232366,worldwide
men_HT,Rowan HAMILTON,29 JAN 2000,76.51,,CAN,"Mike A. Myers Stadium, Austin, TX (USA)",Clyde Littlefield Texas Relays presented by Truist,02 APR 2026,2026,1.0,D,Continental Tour,7237530,worldwide
men_HT,Mason PHILLIPS,,48.68,,USA,"Cougar Athletic Stadium, Azusa, CA (USA)",Bryan Clay Invitational,17 APR 2026,2026,15.0,D,Continental Tour,7237976,worldwide
men_HT,Texas TANNER,01 OCT 2004,74.83,,USA,"Millican Field at Throw Town, Ramona, OK (USA)",Oklahoma Throws Series World Invitational,10 APR 2026,2026,1.0,C,Continental Tour,7236488,worldwide
men_HT,Tyler WILLIAMS,05 APR 1993,74.67,,USA,"Millican Field at Throw Town, Ramona, OK (USA)",Oklahoma Throws Series World Invitational,10 APR 2026,2026,2.0,C,Continental Tour,7236488,worldwide
men_HT,Kieran MCKEAG,18 APR 1998,73.12,,USA,"Millican Field at Throw Town, Ramona, OK (USA)",Oklahoma Throws Series World Invitational,10 APR 2026,2026,3.0,C,Continental Tour,7236488,worldwide
men_HT,Alex YOUNG,01 SEP 1994,72.25,,USA,"Millican Field at Throw Town, Ramona, OK (USA)",Oklahoma Throws Series World Invitational,10 APR 2026,2026,4.0,C,Continental Tour,7236488,worldwide
men_HT,Kade MCCALL,13 MAR 2002,70.83,,USA,"Millican Field at Throw Town, Ramona, OK (USA)",Oklahoma Throws Series World Invitational,10 APR 2026,2026,5.0,C,Continental Tour,7236488,worldwide
men_HT,Avery CARTER,23 APR 1996,69.93,,USA,"Millican Field at Throw Town, Ramona, OK (USA)",Oklahoma Throws Series World Invitational,10 APR 2026,2026,6.0,C,Continental Tour,7236488,worldwide
men_HT,Humberto MANSILLA,22 MAY 1996,74.13,,CHI,"Pista Atlética Mario Recordón, Santiago de Chile (CHI)",Chilean Championships,10 APR 2026,2026,1.0,B,National Championships,7236143,worldwide
men_HT,Gabriel KEHR,03 SEP 1996,71.54,,CHI,"Pista Atlética Mario Recordón, Santiago de Chile (CHI)",Chilean Championships,10 APR 2026,2026,2.0,B,National Championships,7236143,worldwide
men_HT,Tshepang MAKHETHE,19 FEB 1996,68.86,,RSA,"Coetzenburg Stadium, Stellenbosch (RSA)",South African Championships,18 APR 2026,2026,1.0,B,National Championships,7237289,worldwide
men_HT,Alan CUMMING,21 MAR 1996,67.87,,RSA,"Coetzenburg Stadium, Stellenbosch (RSA)",South African Championships,18 APR 2026,2026,2.0,B,National Championships,7237289,worldwide
men_HT,Renaldo FRECHOU,04 MAR 1992,58.85,,RSA,"Coetzenburg Stadium, Stellenbosch (RSA)",South African Championships,18 APR 2026,2026,4.0,B,National Championships,7237289,worldwide
men_HT,Mykhaylo KOKHAN,22 JAN 2001,78.07,,UKR,"Atatürk Stadyumu, Izmir (TUR)",Nurullah Ivak Throwing Cup,19 APR 2026,2026,1.0,D,Continental Tour,7236739,worldwide
men_HT,Halil YILMAZER,24 AUG 2001,73.24,,TUR,"Atatürk Stadyumu, Izmir (TUR)",Nurullah Ivak Throwing Cup,19 APR 2026,2026,2.0,D,Continental Tour,7236739,worldwide
men_HT,Özkan BALTACI,13 FEB 1994,72.63,,TUR,"Atatürk Stadyumu, Izmir (TUR)",Nurullah Ivak Throwing Cup,19 APR 2026,2026,3.0,D,Continental Tour,7236739,worldwide
men_HT,Emre ÇIFTÇI,30 JUL 2004,70.22,,TUR,"Atatürk Stadyumu, Izmir (TUR)",Nurullah Ivak Throwing Cup,19 APR 2026,2026,4.0,D,Continental Tour,7236739,worldwide
