discipline,Competitor,DOB,Mark,WIND,Nat,Venue,Meeting,Date,year,Pos,tier,group,competitionId,source
men_JT,Ben LANGTON-BURNELL,07 OCT 1992,62.64,,NZL,"Douglas Track & Field, Auckland (NZL)",Sir Graeme Douglas International,08 FEB 2026,2026,4.0,C,Continental Tour,7230814,worldwide
men_JT,Rumesh Tharanga PATHIRAGE,21 MAR 2003,83.07,,SRI,"WA Athletics Stadium, Perth (AUS)",Perth Track Classic,14 FEB 2026,2026,1.0,C,Continental Tour,7232367,worldwide
men_JT,Felise VAHAI SOSAIA,30 JUL 1999,75.59,,FRA,"WA Athletics Stadium, Perth (AUS)",Perth Track Classic,14 FEB 2026,2026,2.0,C,Continental Tour,7232367,worldwide
men_JT,Neil JANSE,23 OCT 2000,69.97,,AUS,"WA Athletics Stadium, Perth (AUS)",Perth Track Classic,14 FEB 2026,2026,4.0,C,Continental Tour,7232367,worldwide
men_JT,Hamish PEACOCK,15 OCT 1990,64.76,,AUS,"WA Athletics Stadium, Perth (AUS)",Perth Track Classic,14 FEB 2026,2026,5.0,C,Continental Tour,7232367,worldwide
men_JT,Rumesh Tharanga PATHIRAGE,21 MAR 2003,80.12,,SRI,"Domain Athletic Centre, Hobart (AUS)",Hobart Track Classic,28 FEB 2026,2026,1.0,C,Continental Tour,7232365,worldwide
men_JT,Felise VAHAI SOSAIA,30 JUL 1999,76.36,,FRA,"Domain Athletic Centre, Hobart (AUS)",Hobart Track Classic,28 FEB 2026,2026,2.0,C,Continental Tour,7232365,worldwide
men_JT,Neil JANSE,23 OCT 2000,72.19,,AUS,"Domain Athletic Centre, Hobart (AUS)",Hobart Track Classic,28 FEB 2026,2026,3.0,C,Continental Tour,7232365,worldwide
men_JT,Hamish PEACOCK,15 OCT 1990,65.13,,AUS,"Domain Athletic Centre, Hobart (AUS)",Hobart Track Classic,28 FEB 2026,2026,6.0,C,Continental Tour,7232365,worldwide
men_JT,Anderson PETERS,21 OCT 1997,78.36,,GRN,"Kirani James Athletic Stadium, St. George's (GRN)",Grenadian Championships,01 MAR 2026,2026,1.0,B,National Championships,7234384,worldwide
men_JT,Samuel KURE,20 DEC 1993,77.5,,NGR,"UJ Esuene Stadium, Calabar (NGR)",MTN CHAMPS Athletics Classics,06 MAR 2026,2026,1.0,D,Continental Tour,7237746,worldwide
men_JT,Ben LANGTON-BURNELL,07 OCT 1992,66.25,,NZL,"Douglas Track & Field, Auckland (NZL)",New Zealand Track & Field Championships,06 MAR 2026,2026,3.0,B,National Championships,7235518,worldwide
men_JT,Douw SMIT,12 MAY 1999,79.94,,RSA,"McArthur Stadium, Potchefstroom (RSA)",Hezekiel Sepeng Invitational,08 APR 2026,2026,1.,D,Continental Tour,7237627,worldwide
men_JT,Samuel HANKINS,25 OCT 2001,70.48,,USA,"Cushing Stadium, College Station, TX (USA)",44 Farms Team Invitational,11 APR 2026,2026,3.,D,Continental Tour,7230712,worldwide
men_JT,Cameron MCENTYRE,10 FEB 1999,77.32,,AUS,"Olympic Park, Sydney (AUS)",Australian Championships,12 APR 2026,2026,1.,B,National Championships,7232772,worldwide
men_JT,Howard MCDONALD,23 AUG 2001,74.79,,AUS,"Olympic Park, Sydney (AUS)",Australian Championships,12 APR 2026,2026,2.,B,National Championships,7232772,worldwide
men_JT,Hamish PEACOCK,15 OCT 1990,73.09,,AUS,"Olympic Park, Sydney (AUS)",Australian Championships,12 APR 2026,2026,4.,B,National Championships,7232772,worldwide
men_JT,Neil JANSE,23 OCT 2000,70.66,,AUS,"Olympic Park, Sydney (AUS)",Australian Championships,12 APR 2026,2026,6.,B,National Championships,7232772,worldwide
men_JT,Felise VAHAI SOSAIA,30 JUL 1999,63.51,,FRA,"Olympic Park, Sydney (AUS)",Australian Championships,12 APR 2026,2026,OC,B,National Championships,7232772,worldwide
men_JT,Curtis THOMPSON,08 FEB 1996,85.33,,USA,"Millican Field at Throw Town, Ramona, OK (USA)",Oklahoma Throws Series World Invitational,10 APR 2026,2026,1.,C,Continental Tour,7236488,worldwide
men_JT,Donavon BANKS,15 APR 1997,NM,,USA,"Millican Field at Throw Town, Ramona, OK (USA)",Oklahoma Throws Series World Invitational,10 APR 2026,2026,,C,Continental Tour,7236488,worldwide
men_JT,Sindri Hrafn GUÐMUNDSSON,21 NOV 1995,NM,,ISL,"Millican Field at Throw Town, Ramona, OK (USA)",Oklahoma Throws Series World Invitational,10 APR 2026,2026,,C,Continental Tour,7236488,worldwide
men_JT,Samuel KURE,20 DEC 1993,79.39,,NGR,"Lekan Salami Stadium, Ibadan (NGR)",MTN CHAMPS Grand Final,14 APR 2026,2026,1.,D,Continental Tour,7237714,worldwide
men_JT,Douw SMIT,12 MAY 1999,80.88,,RSA,"Coetzenburg Stadium, Stellenbosch (RSA)",South African Championships,16 APR 2026,2026,1.,B,National Championships,7237289,worldwide
men_JT,Ewald JANSEN,15 APR 2006,75.69,,RSA,"Coetzenburg Stadium, Stellenbosch (RSA)",South African Championships,16 APR 2026,2026,2.,B,National Championships,7237289,worldwide
men_JT,Curtis THOMPSON,08 FEB 1996,84.63,,USA,"Drake Stadium, Des Moines, IA (USA)",116th Drake Relays,23 APR 2026,2026,1.,B,Continental Tour,7237033,worldwide
men_JT,Marc Anthony MINICHELLO,06 APR 2000,84.11,,USA,"Drake Stadium, Des Moines, IA (USA)",116th Drake Relays,23 APR 2026,2026,2.,B,Continental Tour,7237033,worldwide
men_JT,Sindri Hrafn GUÐMUNDSSON,21 NOV 1995,77.55,,ISL,"Drake Stadium, Des Moines, IA (USA)",116th Drake Relays,23 APR 2026,2026,3.,B,Continental Tour,7237033,worldwide
men_JT,Arthur W. PETERSEN,18 AUG 1999,76.95,,DEN,"Drake Stadium, Des Moines, IA (USA)",116th Drake Relays,23 APR 2026,2026,4.,B,Continental Tour,7237033,worldwide
men_JT,Ethan SHALAWAY,28 SEP 1994,65.79,,USA,"Drake Stadium, Des Moines, IA (USA)",116th Drake Relays,23 APR 2026,2026,6.,B,Continental Tour,7237033,worldwide
men_JT,Rumesh Tharanga PATHIRAGE,21 MAR 2003,89.28,,SRI,"Nyayo National Stadium, Nairobi (KEN)",Kip Keino Classic,24 APR 2026,2026,1.,A,Continental Tour,7233226,worldwide
men_JT,Thomas RÖHLER,30 SEP 1991,83.33,,GER,"Nyayo National Stadium, Nairobi (KEN)",Kip Keino Classic,24 APR 2026,2026,2.,A,Continental Tour,7233226,worldwide
men_JT,Douw SMIT,12 MAY 1999,81.19,,RSA,"Nyayo National Stadium, Nairobi (KEN)",Kip Keino Classic,24 APR 2026,2026,3.,A,Continental Tour,7233226,worldwide
men_JT,Julius YEGO,04 JAN 1989,79.87,,KEN,"Nyayo National Stadium, Nairobi (KEN)",Kip Keino Classic,24 APR 2026,2026,4.,A,Continental Tour,7233226,worldwide
men_JT,Leandro RAMOS,21 SEP 2000,77.33,,POR,"Nyayo National Stadium, Nairobi (KEN)",Kip Keino Classic,24 APR 2026,2026,5.,A,Continental Tour,7233226,worldwide
men_JT,Martin KONEČNÝ,20 DEC 1997,75.91,,CZE,"Nyayo National Stadium, Nairobi (KEN)",Kip Keino Classic,24 APR 2026,2026,6.,A,Continental Tour,7233226,worldwide
men_JT,Manu QUIJERA,13 JAN 1998,74.99,,ESP,"Nyayo National Stadium, Nairobi (KEN)",Kip Keino Classic,24 APR 2026,2026,7.,A,Continental Tour,7233226,worldwide
men_JT,Xiaobo WANG,18 FEB 2005,75.36,,CHN,"Zhaoqing Sports Center, Zhaoqing (CHN)",National Athletics Grand Prix 1,26 APR 2026,2026,1.,D,Continental Tour,7239297,worldwide
men_JT,Lars Anthony FLAMING,27 FEB 2003,79.69,,PAR,"Pista de Atletismo Darwin Piñeyrúa, Montevideo (URU)",Grand Prix Estrella Puente,25 APR 2026,2026,1.,D,Continental Tour,7237941,worldwide
men_JT,Yuta SAKIYAMA,05 APR 1996,81.78,,JPN,"Municipal Stadium, Hiroshima (JPN)",60th Oda Mikio Memorial,29 APR 2026,2026,1.,C,Continental Tour,7238866,worldwide
men_JT,Rin SUZUKI,13 DEC 2002,79.47,,JPN,"Municipal Stadium, Hiroshima (JPN)",60th Oda Mikio Memorial,29 APR 2026,2026,2.,C,Continental Tour,7238866,worldwide
men_JT,Cameron MCENTYRE,10 FEB 1999,77.57,,AUS,"Municipal Stadium, Hiroshima (JPN)",60th Oda Mikio Memorial,29 APR 2026,2026,3.,C,Continental Tour,7238866,worldwide
men_JT,Hayato YAMADA,05 DEC 2002,76.82,,JPN,"Municipal Stadium, Hiroshima (JPN)",60th Oda Mikio Memorial,29 APR 2026,2026,4.,C,Continental Tour,7238866,worldwide
men_JT,Yusaku IWAO,12 APR 2002,74.90,,JPN,"Municipal Stadium, Hiroshima (JPN)",60th Oda Mikio Memorial,29 APR 2026,2026,6.,C,Continental Tour,7238866,worldwide
men_JT,Taisei AIBARA,18 AUG 1995,73.67,,JPN,"Municipal Stadium, Hiroshima (JPN)",60th Oda Mikio Memorial,29 APR 2026,2026,7.,C,Continental Tour,7238866,worldwide
men_JT,Gen NAGANUMA,31 MAR 1998,67.23,,JPN,"Municipal Stadium, Hiroshima (JPN)",60th Oda Mikio Memorial,29 APR 2026,2026,12.,C,Continental Tour,7238866,worldwide
men_JT,Ayumu ISHIYAMA,02 JUN 1996,62.56,,JPN,"Municipal Stadium, Hiroshima (JPN)",60th Oda Mikio Memorial,29 APR 2026,2026,13.,C,Continental Tour,7238866,worldwide
men_JT,Haruka HIGA,31 AUG 1998,59.89,,JPN,"Municipal Stadium, Hiroshima (JPN)",60th Oda Mikio Memorial,29 APR 2026,2026,15.,C,Continental Tour,7238866,worldwide
men_JT,Tzuriel PEDIGO,09 JAN 2000,62.61,,USA,"LSU Bernie Moore Stadium, Baton Rouge, LA (USA)",LSU Invitational,02 MAY 2026,2026,3.,D,Continental Tour,7239723,worldwide
men_JT,Thomas RÖHLER,30 SEP 1991,79.62,,GER,"Městský stadion Střelnice, Domažlice (CZE)",19. ročník Hvězdného házení,08 MAY 2026,2026,1.,C,Continental Tour,7235745,worldwide
men_JT,Timothy HERMAN,19 OCT 1990,76.72,,BEL,"Městský stadion Střelnice, Domažlice (CZE)",19. ročník Hvězdného házení,08 MAY 2026,2026,3.,C,Continental Tour,7235745,worldwide
men_JT,Patrik MICHALEC,07 APR 2000,74.95,,SVK,"Městský stadion Střelnice, Domažlice (CZE)",19. ročník Hvězdného házení,08 MAY 2026,2026,4.,C,Continental Tour,7235745,worldwide
men_JT,Maged Mohsen ALBADRY,29 SEP 1995,67.87,,EGY,"King Fahd Sports City Stadium, Taif (KSA)",The Saudi Arabian Championships for Men,08 MAY 2026,2026,OC,B,National Championships,7237446,worldwide
men_JT,Dawid WEGNER,23 APR 2000,79.49,,POL,"Stadio Luigi Ridolfi, Firenze (ITA)",International Pegaso Meeting,09 MAY 2026,2026,1.,D,Continental Tour,7234843,worldwide
men_JT,Michael ALLISON,17 MAY 2004,77.26,,GBR,"Stadio Luigi Ridolfi, Firenze (ITA)",International Pegaso Meeting,09 MAY 2026,2026,2.,D,Continental Tour,7234843,worldwide
men_JT,Giovanni FRATTINI,24 OCT 2002,76.10,,ITA,"Stadio Luigi Ridolfi, Firenze (ITA)",International Pegaso Meeting,09 MAY 2026,2026,3.,D,Continental Tour,7234843,worldwide
men_JT,Tom EGBERS,11 NOV 1999,70.74,,NED,"Sportpark Ter Specke, Lisse (NED)",Ter Specke Bokaal,09 MAY 2026,2026,2.,D,Continental Tour,7234689,worldwide
men_JT,Longyu GAO,29 JAN 2000,76.72,,CHN,"Sports Center, Jiaxing (CHN)",National Athletics Grand Prix 2,09 MAY 2026,2026,1.,D,Continental Tour,7239310,worldwide
men_JT,Cong WANG,31 JAN 2001,70.96,,CHN,"Sports Center, Jiaxing (CHN)",National Athletics Grand Prix 2,09 MAY 2026,2026,4.,D,Continental Tour,7239310,worldwide
men_JT,You-il BAE,16 JUN 1994,74.33,,KOR,"Jeongseon Sports Complex, Jeongseon (KOR)",80th Korean Championships,11 MAY 2026,2026,3.,B,National Championships,7237613,worldwide
men_JT,Julius YEGO,04 JAN 1989,79.87,,KEN,"University of Ghana Sports Stadium, Accra (GHA)",African Athletics Championships,17 MAY 2026,2026,1.,GL,Area Champs,7238651,worldwide
men_JT,Douw SMIT,12 MAY 1999,76.00,,RSA,"University of Ghana Sports Stadium, Accra (GHA)",African Athletics Championships,17 MAY 2026,2026,3.,GL,Area Champs,7238651,worldwide
