discipline,Competitor,DOB,Mark,WIND,Nat,Venue,Meeting,Date,year,Pos,tier,group,competitionId,source
men_LJ,Jalen RUCKER,18 FEB 1997,7.92,1.9,AUS,"WA Athletics Stadium, Perth (AUS)",Perth Track Classic,14 FEB 2026,2026,2.0,C,Continental Tour,7232367,worldwide
men_LJ,Liam FAIRWEATHER,23 JUL 2002,7.61,0.5,AUS,"WA Athletics Stadium, Perth (AUS)",Perth Track Classic,14 FEB 2026,2026,3.0,C,Continental Tour,7232367,worldwide
men_LJ,Salim Saleh Mus AL YARABI,15 JAN 1994,7.35,-0.3,OMA,"Suez Canal Authority Stadium, Ismailia (EGY)",Egypt Winter Cup,23 FEB 2026,2026,1.0,D,Continental Tour,7237631,worldwide
men_LJ,Shay VEITCH,07 DEC 2000,7.7,0.8,NZL,"Douglas Track & Field, Auckland (NZL)",New Zealand Track & Field Championships,07 MAR 2026,2026,1.0,B,National Championships,7235518,worldwide
men_LJ,Michael WILLIAMS,19 OCT 1991,7.56,0.4,PUR,"Pista Basilio Rodriguez, Carolina (PUR)",20th Carolina Spring Break Camp/Classic,14 MAR 2026,2026,1.0,D,Continental Tour,7238382,worldwide
men_LJ,Shawn-D THOMPSON,20 JAN 1997,7.83,-1.4,JAM,"National Stadium, Kingston (JAM)",Velocity Fest #18,21 MAR 2026,2026,1.0,D,Continental Tour,7237812,worldwide
men_LJ,Liam ADCOCK,21 JUN 1996,7.94,-1.3,AUS,"Lakeside Stadium, Melbourne (AUS)",Maurie Plant Meet,28 MAR 2026,2026,2.,A,Continental Tour,7232016,worldwide
men_LJ,Liam FAIRWEATHER,23 JUL 2002,7.87,1.1,AUS,"Lakeside Stadium, Melbourne (AUS)",Maurie Plant Meet,28 MAR 2026,2026,3.,A,Continental Tour,7232016,worldwide
men_LJ,Christopher MITREVSKI,12 JUL 1996,7.86,-1.1,AUS,"Lakeside Stadium, Melbourne (AUS)",Maurie Plant Meet,28 MAR 2026,2026,4.,A,Continental Tour,7232016,worldwide
men_LJ,Jalen RUCKER,18 FEB 1997,7.61,1.8,AUS,"Lakeside Stadium, Melbourne (AUS)",Maurie Plant Meet,28 MAR 2026,2026,5.,A,Continental Tour,7232016,worldwide
men_LJ,Shay VEITCH,07 DEC 2000,7.6,-0.1,NZL,"Lakeside Stadium, Melbourne (AUS)",Maurie Plant Meet,28 MAR 2026,2026,6.,A,Continental Tour,7232016,worldwide
men_LJ,Norman CHIBANE,23 MAR 1999,7.25,0.1,BOT,"National Stadium, Gaborone (BOT)",Botswana Championships,04 APR 2026,2026,1.,B,National Championships,7241518,worldwide
men_LJ,Tajay GAYLE,02 AUG 1996,8.11,0.0,JAM,"Ansin Sports Complex, Miramar, FL (USA)",Miramar Invitational,04 APR 2026,2026,1.,B,Continental Tour,7236487,worldwide
men_LJ,Cameron CRUMP,03 SEP 1999,8.07,0.0,USA,"Ansin Sports Complex, Miramar, FL (USA)",Miramar Invitational,04 APR 2026,2026,2.,B,Continental Tour,7236487,worldwide
men_LJ,Damarcus SIMPSON,14 JUL 1993,8.02,3.2,USA,"Ansin Sports Complex, Miramar, FL (USA)",Miramar Invitational,04 APR 2026,2026,3.,B,Continental Tour,7236487,worldwide
men_LJ,Malcolm CLEMONS,08 MAR 2002,7.98,0.0,USA,"Ansin Sports Complex, Miramar, FL (USA)",Miramar Invitational,04 APR 2026,2026,4.,B,Continental Tour,7236487,worldwide
men_LJ,Jason SMITH,19 DEC 1998,7.66,-0.2,USA,"Ansin Sports Complex, Miramar, FL (USA)",Miramar Invitational,04 APR 2026,2026,5.,B,Continental Tour,7236487,worldwide
men_LJ,Nikaoli WILLIAMS,07 OCT 2000,7.62,1.5,JAM,"Ansin Sports Complex, Miramar, FL (USA)",Miramar Invitational,04 APR 2026,2026,7.,B,Continental Tour,7236487,worldwide
men_LJ,Damarcus SIMPSON,14 JUL 1993,7.98,0.8,USA,"Ansin Sports Complex, Miramar, FL (USA)",Miramar Invitational,04 APR 2026,2026,,B,Continental Tour,7236487,worldwide
men_LJ,Luvo MANYONGA,08 JAN 1991,7.98,0.0,RSA,"McArthur Stadium, Potchefstroom (RSA)",Hezekiel Sepeng Invitational,08 APR 2026,2026,1.,D,Continental Tour,7237627,worldwide
men_LJ,Divan MANUEL,15 SEP 1996,7.89,0.2,RSA,"McArthur Stadium, Potchefstroom (RSA)",Hezekiel Sepeng Invitational,08 APR 2026,2026,2.,D,Continental Tour,7237627,worldwide
men_LJ,Sami BAKHEET,06 DEC 2005,7.82,0.5,KSA,"McArthur Stadium, Potchefstroom (RSA)",Hezekiel Sepeng Invitational,08 APR 2026,2026,3.,D,Continental Tour,7237627,worldwide
men_LJ,Welrè OLIVIER,04 NOV 2002,7.45,0.0,NZL,"McArthur Stadium, Potchefstroom (RSA)",Hezekiel Sepeng Invitational,08 APR 2026,2026,4.,D,Continental Tour,7237627,worldwide
men_LJ,Jovan VAN VUUREN,17 JUL 1996,7.45,0.0,RSA,"McArthur Stadium, Potchefstroom (RSA)",Hezekiel Sepeng Invitational,08 APR 2026,2026,5.,D,Continental Tour,7237627,worldwide
men_LJ,Jason SMITH,19 DEC 1998,7.88,1.5,USA,"Cougar Athletic Stadium, Azusa, CA (USA)",Bryan Clay Invitational,18 APR 2026,2026,1.,D,Continental Tour,7237976,worldwide
men_LJ,Jalen SEALS,21 SEP 1998,7.16,1.1,USA,"Cougar Athletic Stadium, Azusa, CA (USA)",Bryan Clay Invitational,18 APR 2026,2026,7.,D,Continental Tour,7237976,worldwide
men_LJ,Liam ADCOCK,21 JUN 1996,8.26,0.1,AUS,"Olympic Park, Sydney (AUS)",Australian Championships,12 APR 2026,2026,1.,B,National Championships,7232772,worldwide
men_LJ,Christopher MITREVSKI,12 JUL 1996,8.12,0.3,AUS,"Olympic Park, Sydney (AUS)",Australian Championships,12 APR 2026,2026,2.,B,National Championships,7232772,worldwide
men_LJ,Jalen RUCKER,18 FEB 1997,7.86,1.7,AUS,"Olympic Park, Sydney (AUS)",Australian Championships,12 APR 2026,2026,3.,B,National Championships,7232772,worldwide
men_LJ,Liam FAIRWEATHER,23 JUL 2002,7.34,1.0,AUS,"Olympic Park, Sydney (AUS)",Australian Championships,12 APR 2026,2026,8.,B,National Championships,7232772,worldwide
men_LJ,Luvo MANYONGA,08 JAN 1991,7.94,0.1,RSA,"Hoërskool Stadium, Stellenbosch (RSA)",Cape Miller Continental Tour,10 APR 2026,2026,1.,D,Continental Tour,7237030,worldwide
men_LJ,Norman CHIBANE,23 MAR 1999,7.4,-0.4,BOT,"University of Botswana Stadium, Gaborone (BOT)",Road-To-Botswana Golden Grand Prix,11 APR 2026,2026,2.,D,Continental Tour,7228517,worldwide
men_LJ,Yu-Tang LIN,11 MAY 2000,7.59,0.0,TPE,"The Kallang - Singapore Sports Hub, Singapore (SGP)",86th Singaporean Championships,16 APR 2026,2026,OC,B,National Championships,7240277,worldwide
