discipline,Competitor,DOB,Mark,WIND,Nat,Venue,Meeting,Date,year,Pos,tier,group,competitionId,source
men_PV,Kurtis MARSCHALL,25 APR 1997,5.83,,AUS,"WA Athletics Stadium, Perth (AUS)",Perth Track Classic,14 FEB 2026,2026,1.0,C,Continental Tour,7232367,worldwide
men_PV,Tomoya KARASAWA,17 MAY 2002,5.43,,JPN,"WA Athletics Stadium, Perth (AUS)",Perth Track Classic,14 FEB 2026,2026,4.0,C,Continental Tour,7232367,worldwide
men_PV,Charlie MYERS,12 JUN 1997,5.18,,GBR,"WA Athletics Stadium, Perth (AUS)",Perth Track Classic,14 FEB 2026,2026,6.0,C,Continental Tour,7232367,worldwide
men_PV,Jonathan HOPKINS,,5.00,,USA,"Percy Beard Track, Gainesville, FL (USA)",Pepsi Florida Relays,04 APR 2026,2026,9.,D,Continental Tour,7235940,worldwide
men_PV,Cody JOHNSTON,05 MAR 2004,DNS,,USA,"Percy Beard Track, Gainesville, FL (USA)",Pepsi Florida Relays,04 APR 2026,2026,,D,Continental Tour,7235940,worldwide
men_PV,Carson Cody WATERS,05 JUN 1996,DNS,,USA,"Percy Beard Track, Gainesville, FL (USA)",Pepsi Florida Relays,04 APR 2026,2026,,D,Continental Tour,7235940,worldwide
men_PV,Kobe BABIN,15 JUN 2002,NM,,USA,"Percy Beard Track, Gainesville, FL (USA)",Pepsi Florida Relays,04 APR 2026,2026,,D,Continental Tour,7235940,worldwide
men_PV,Ricardo David MONTES,22 SEP 2006,5.70,,VEN,"Cushing Stadium, College Station, TX (USA)",44 Farms Team Invitational,09 APR 2026,2026,1.,D,Continental Tour,7230712,worldwide
men_PV,Oleg ANANYEV,18 AUG 2003,5.32,,RUS,"Cushing Stadium, College Station, TX (USA)",44 Farms Team Invitational,09 APR 2026,2026,3.,D,Continental Tour,7230712,worldwide
men_PV,Kurtis MARSCHALL,25 APR 1997,NM,,AUS,"Olympic Park, Sydney (AUS)",Australian Championships,12 APR 2026,2026,,B,National Championships,7232772,worldwide
men_PV,Charlie MYERS,12 JUN 1997,5.24,,GBR,"Olympic Park, Sydney (AUS)",Australian Championships,12 APR 2026,2026,OC,B,National Championships,7232772,worldwide
men_PV,Valco VAN WYK,26 JUL 2000,5.10,,RSA,"Coetzenburg Stadium, Stellenbosch (RSA)",South African Championships,16 APR 2026,2026,1.,B,National Championships,7237289,worldwide
men_PV,Dyander PACHO,08 FEB 2000,5.30,,ECU,"La Vicentina, Quito (ECU)",Ecuadorean Championships,18 APR 2026,2026,1.,B,National Championships,7236979,worldwide
men_PV,Augusto DUTRA,16 JUL 1990,5.10,,BRA,"Pista Atlética Mario Recordón, Santiago de Chile (CHI)",Continental Tour Orlando Guaita,19 APR 2026,2026,1.,C,Continental Tour,7239057,worldwide
men_PV,KC LIGHTFOOT,11 NOV 1999,5.91,,USA,"Jordan Creek Town Center, Des Moines, IA (USA)",Drake Relays Vault at Jordan Creek,20 APR 2026,2026,1.,B,Continental Tour,7241400,worldwide
men_PV,Zachery BRADFORD,29 NOV 1999,5.83,,USA,"Jordan Creek Town Center, Des Moines, IA (USA)",Drake Relays Vault at Jordan Creek,20 APR 2026,2026,2.,B,Continental Tour,7241400,worldwide
men_PV,Christopher NILSEN,13 JAN 1998,5.65,,USA,"Jordan Creek Town Center, Des Moines, IA (USA)",Drake Relays Vault at Jordan Creek,20 APR 2026,2026,3.,B,Continental Tour,7241400,worldwide
men_PV,Jacob WOOTEN,22 APR 1997,5.50,,USA,"Jordan Creek Town Center, Des Moines, IA (USA)",Drake Relays Vault at Jordan Creek,20 APR 2026,2026,4.,B,Continental Tour,7241400,worldwide
men_PV,Cole WALSH,14 JUN 1995,5.50,,USA,"Jordan Creek Town Center, Des Moines, IA (USA)",Drake Relays Vault at Jordan Creek,20 APR 2026,2026,5.,B,Continental Tour,7241400,worldwide
