discipline,Competitor,DOB,Mark,WIND,Nat,Venue,Meeting,Date,year,Pos,tier,group,competitionId,source
men_SP,Nick PALMER,12 JUN 2000,19.51,,NZL,"Cooks Gardens, Whanganui (NZL)",Pak'n Save Cooks International Classic,24 JAN 2026,2026,1.0,C,Continental Tour,7230813,worldwide
men_SP,Tom WALSH,01 MAR 1992,20.8,,NZL,"Douglas Track & Field, Auckland (NZL)",Sir Graeme Douglas International,08 FEB 2026,2026,1.0,C,Continental Tour,7230814,worldwide
men_SP,Nick PALMER,12 JUN 2000,19.72,,NZL,"Douglas Track & Field, Auckland (NZL)",Sir Graeme Douglas International,08 FEB 2026,2026,2.0,C,Continental Tour,7230814,worldwide
men_SP,Tom WALSH,01 MAR 1992,20.83,,NZL,"Nga Puna Wai Sports Hub, Christchurch (NZL)",International Track Meet,21 FEB 2026,2026,1.0,C,Continental Tour,7230815,worldwide
men_SP,Nick PALMER,12 JUN 2000,19.53,,NZL,"Nga Puna Wai Sports Hub, Christchurch (NZL)",International Track Meet,21 FEB 2026,2026,2.0,C,Continental Tour,7230815,worldwide
men_SP,Andrei Rares TOADER,26 MAY 1997,19.84,,ROU,"Suez Canal Authority Stadium, Ismailia (EGY)",Egypt Winter Cup,23 FEB 2026,2026,1.0,D,Continental Tour,7237631,worldwide
men_SP,Mohamed KHALIFA,30 AUG 1996,19.32,,EGY,"Suez Canal Authority Stadium, Ismailia (EGY)",Egypt Winter Cup,23 FEB 2026,2026,2.0,D,Continental Tour,7237631,worldwide
men_SP,Alexander KOLESNIKOFF,30 SEP 2000,17.85,,AUS,"Domain Athletic Centre, Hobart (AUS)",Hobart Track Classic,28 FEB 2026,2026,2.0,C,Continental Tour,7232365,worldwide
men_SP,Tom WALSH,01 MAR 1992,21.1,,NZL,"Douglas Track & Field, Auckland (NZL)",New Zealand Track & Field Championships,07 MAR 2026,2026,1.0,B,National Championships,7235518,worldwide
men_SP,Jacko GILL,20 DEC 1994,20.64,,NZL,"Douglas Track & Field, Auckland (NZL)",New Zealand Track & Field Championships,07 MAR 2026,2026,2.0,B,National Championships,7235518,worldwide
men_SP,Nick PALMER,12 JUN 2000,20.02,,NZL,"Douglas Track & Field, Auckland (NZL)",New Zealand Track & Field Championships,07 MAR 2026,2026,3.0,B,National Championships,7235518,worldwide
men_SP,Vanam SHARMA,13 APR 1998,16.85,,IND,"Mike A. Myers Stadium, Austin, TX (USA)",Clyde Littlefield Texas Relays presented by Truist,03 APR 2026,2026,3.,D,Continental Tour,7237530,worldwide
men_SP,Aiden SMITH,11 OCT 2004,20.72,,RSA,"McArthur Stadium, Potchefstroom (RSA)",Hezekiel Sepeng Invitational,07 APR 2026,2026,1.,D,Continental Tour,7237627,worldwide
men_SP,Alexander KOLESNIKOFF,30 SEP 2000,18.32,,AUS,"Olympic Park, Sydney (AUS)",Australian Championships,12 APR 2026,2026,2.,B,National Championships,7232772,worldwide
men_SP,Nick PALMER,12 JUN 2000,19.79,,NZL,"Olympic Park, Sydney (AUS)",Australian Championships,12 APR 2026,2026,OC,B,National Championships,7232772,worldwide
men_SP,Roger STEEN,17 MAY 1992,21.77,,USA,"Millican Field at Throw Town, Ramona, OK (USA)",Oklahoma Throws Series World Invitational,11 APR 2026,2026,1.,C,Continental Tour,7236488,worldwide
men_SP,Rajindra CAMPBELL,29 FEB 1996,20.75,,JAM,"Millican Field at Throw Town, Ramona, OK (USA)",Oklahoma Throws Series World Invitational,11 APR 2026,2026,2.,C,Continental Tour,7236488,worldwide
men_SP,Uziel MUÑOZ,08 SEP 1995,20.05,,MEX,"Millican Field at Throw Town, Ramona, OK (USA)",Oklahoma Throws Series World Invitational,11 APR 2026,2026,3.,C,Continental Tour,7236488,worldwide
men_SP,Nick PONZIO,04 JAN 1995,19.97,,ITA,"Millican Field at Throw Town, Ramona, OK (USA)",Oklahoma Throws Series World Invitational,11 APR 2026,2026,5.,C,Continental Tour,7236488,worldwide
men_SP,Jason SWARENS,31 MAY 2002,19.27,,USA,"Millican Field at Throw Town, Ramona, OK (USA)",Oklahoma Throws Series World Invitational,11 APR 2026,2026,6.,C,Continental Tour,7236488,worldwide
men_SP,Texas TANNER,01 OCT 2004,NM,,USA,"Millican Field at Throw Town, Ramona, OK (USA)",Oklahoma Throws Series World Invitational,11 APR 2026,2026,,C,Continental Tour,7236488,worldwide
men_SP,Claudio ROMERO,10 JUL 2000,17.42,,CHI,"Pista Atlética Mario Recordón, Santiago de Chile (CHI)",Chilean Championships,12 APR 2026,2026,1.,B,National Championships,7236143,worldwide
men_SP,Aiden SMITH,11 OCT 2004,20.51,,RSA,"Coetzenburg Stadium, Stellenbosch (RSA)",South African Championships,16 APR 2026,2026,1.,B,National Championships,7237289,worldwide
men_SP,Ali PEKER,21 JUL 2005,17.40,,TUR,"Atatürk Stadyumu, Izmir (TUR)",Nurullah Ivak Throwing Cup,19 APR 2026,2026,3.,D,Continental Tour,7236739,worldwide
men_SP,Welington MORAIS,06 SEP 1996,21.18,,BRA,"CeNARD, Buenos Aires (ARG)",Challenger Continental Tour Ciudad de Buenos Aires,18 APR 2026,2026,1.,D,Continental Tour,7239582,worldwide
men_SP,Ignacio CARBALLO,12 AUG 1994,17.68,,ARG,"CeNARD, Buenos Aires (ARG)",Challenger Continental Tour Ciudad de Buenos Aires,18 APR 2026,2026,4.,D,Continental Tour,7239582,worldwide
men_SP,Roger STEEN,17 MAY 1992,21.93,,USA,"Drake Stadium, Des Moines, IA (USA)",116th Drake Relays,24 APR 2026,2026,1.,B,Continental Tour,7237033,worldwide
men_SP,Chukwuebuka ENEKWECHI,28 JAN 1993,21.74,,NGR,"Drake Stadium, Des Moines, IA (USA)",116th Drake Relays,24 APR 2026,2026,2.,B,Continental Tour,7237033,worldwide
men_SP,Rajindra CAMPBELL,29 FEB 1996,21.72,,JAM,"Drake Stadium, Des Moines, IA (USA)",116th Drake Relays,24 APR 2026,2026,3.,B,Continental Tour,7237033,worldwide
men_SP,Josh AWOTUNDE,12 JUN 1995,20.35,,USA,"Drake Stadium, Des Moines, IA (USA)",116th Drake Relays,24 APR 2026,2026,4.,B,Continental Tour,7237033,worldwide
men_SP,Cade MORAN,04 OCT 2003,19.95,,USA,"Drake Stadium, Des Moines, IA (USA)",116th Drake Relays,24 APR 2026,2026,5.,B,Continental Tour,7237033,worldwide
men_SP,Christopher LICATA,13 JUL 1999,19.93,,USA,"Drake Stadium, Des Moines, IA (USA)",116th Drake Relays,24 APR 2026,2026,6.,B,Continental Tour,7237033,worldwide
men_SP,Nikolas CURTISS,25 AUG 1997,19.64,,USA,"Drake Stadium, Des Moines, IA (USA)",116th Drake Relays,24 APR 2026,2026,7.,B,Continental Tour,7237033,worldwide
men_SP,Jason SWARENS,31 MAY 2002,19.19,,USA,"Drake Stadium, Des Moines, IA (USA)",116th Drake Relays,24 APR 2026,2026,8.,B,Continental Tour,7237033,worldwide
men_SP,Texas TANNER,01 OCT 2004,19.13,,USA,"Drake Stadium, Des Moines, IA (USA)",116th Drake Relays,24 APR 2026,2026,9.,B,Continental Tour,7237033,worldwide
men_SP,Ryan WILLIAMS,26 MAR 2000,14.30,,NAM,"Independence Stadium, Windhoek (NAM)",Namibian Championships,25 APR 2026,2026,1.,B,National Championships,7235076,worldwide
men_SP,Aiden SMITH,11 OCT 2004,20.55,,RSA,"National Stadium, Gaborone (BOT)",Botswana Golden Grand Prix,26 APR 2026,2026,1.,B,Continental Tour,7229642,worldwide
men_SP,Zane WEIR,07 SEP 1995,20.48,,ITA,"National Stadium, Gaborone (BOT)",Botswana Golden Grand Prix,26 APR 2026,2026,2.,B,Continental Tour,7229642,worldwide
men_SP,Nick PONZIO,04 JAN 1995,19.84,,ITA,"National Stadium, Gaborone (BOT)",Botswana Golden Grand Prix,26 APR 2026,2026,3.,B,Continental Tour,7229642,worldwide
men_SP,Kyle BLIGNAUT,09 NOV 1999,17.90,,RSA,"National Stadium, Gaborone (BOT)",Botswana Golden Grand Prix,26 APR 2026,2026,4.,B,Continental Tour,7229642,worldwide
men_SP,Chukwuebuka ENEKWECHI,28 JAN 1993,21.17,,NGR,"Pilditch Stadium, Pretoria (RSA)",Simbine Classic,28 APR 2026,2026,1.,B,Continental Tour,7233329,worldwide
men_SP,Zane WEIR,07 SEP 1995,20.73,,ITA,"Pilditch Stadium, Pretoria (RSA)",Simbine Classic,28 APR 2026,2026,2.,B,Continental Tour,7233329,worldwide
men_SP,Aiden SMITH,11 OCT 2004,20.50,,RSA,"Pilditch Stadium, Pretoria (RSA)",Simbine Classic,28 APR 2026,2026,3.,B,Continental Tour,7233329,worldwide
men_SP,Nick PONZIO,04 JAN 1995,19.65,,ITA,"Pilditch Stadium, Pretoria (RSA)",Simbine Classic,28 APR 2026,2026,4.,B,Continental Tour,7233329,worldwide
men_SP,Kyle BLIGNAUT,09 NOV 1999,18.48,,RSA,"Pilditch Stadium, Pretoria (RSA)",Simbine Classic,28 APR 2026,2026,5.,B,Continental Tour,7233329,worldwide
men_SP,Tarik O'HAGAN,25 NOV 2003,20.53,,USA,"LSU Bernie Moore Stadium, Baton Rouge, LA (USA)",LSU Invitational,02 MAY 2026,2026,1.,D,Continental Tour,7239723,worldwide
men_SP,Shamar REID,11 SEP 2002,17.51,,JAM,"LSU Bernie Moore Stadium, Baton Rouge, LA (USA)",LSU Invitational,02 MAY 2026,2026,2.,D,Continental Tour,7239723,worldwide
men_SP,Tadeáš PROCHÁZKA,30 JUL 1999,18.86,,CZE,"Městský stadion Střelnice, Domažlice (CZE)",19. ročník Hvězdného házení,08 MAY 2026,2026,3.,C,Continental Tour,7235745,worldwide
men_SP,Tsanko ARNAUDOV,14 MAR 1992,18.42,,POR,"Městský stadion Střelnice, Domažlice (CZE)",19. ročník Hvězdného házení,08 MAY 2026,2026,5.,C,Continental Tour,7235745,worldwide
men_SP,Mohammed Daoud B TOLU,30 MAR 2001,19.24,,KSA,"King Fahd Sports City Stadium, Taif (KSA)",The Saudi Arabian Championships for Men,09 MAY 2026,2026,1.,B,National Championships,7237446,worldwide
men_SP,Abdelrahman MAHMOUD,01 JAN 2001,19.75,,BRN,"King Fahd Sports City Stadium, Taif (KSA)",The Saudi Arabian Championships for Men,09 MAY 2026,2026,OC,B,National Championships,7237446,worldwide
men_SP,Leonardo FABBRI,15 APR 1997,21.43,,ITA,"Stadio Luigi Ridolfi, Firenze (ITA)",International Pegaso Meeting,09 MAY 2026,2026,1.,D,Continental Tour,7234843,worldwide
men_SP,Zane WEIR,07 SEP 1995,20.24,,ITA,"Stadio Luigi Ridolfi, Firenze (ITA)",International Pegaso Meeting,09 MAY 2026,2026,2.,D,Continental Tour,7234843,worldwide
men_SP,Lorenzo DEL GATTO,08 JUL 1994,19.12,,ITA,"Stadio Luigi Ridolfi, Firenze (ITA)",International Pegaso Meeting,09 MAY 2026,2026,3.,D,Continental Tour,7234843,worldwide
men_SP,Riccardo FERRARA,22 JAN 2001,19.03,,ITA,"Stadio Luigi Ridolfi, Firenze (ITA)",International Pegaso Meeting,09 MAY 2026,2026,4.,D,Continental Tour,7234843,worldwide
men_SP,Aiden SMITH,11 OCT 2004,20.01,,RSA,"University of Ghana Sports Stadium, Accra (GHA)",African Athletics Championships,12 MAY 2026,2026,1.,GL,Area Champs,7238651,worldwide
