discipline,Competitor,DOB,Mark,WIND,Nat,Venue,Meeting,Date,year,Pos,tier,group,competitionId,source
men_TJ,Yuto ADACHI,16 DEC 2000,15.64,0.2,JPN,"Nga Puna Wai Sports Hub, Christchurch (NZL)",International Track Meet,21 FEB 2026,2026,1.0,C,Continental Tour,7230815,worldwide
men_TJ,Shemaiah JAMES,12 JUL 1997,16.16,0.3,AUS,"Domain Athletic Centre, Hobart (AUS)",Hobart Track Classic,28 FEB 2026,2026,1.0,C,Continental Tour,7232365,worldwide
men_TJ,Shemaiah JAMES,12 JUL 1997,16.39,0.7,AUS,"SA Athletic Stadium, Adelaide (AUS)",Adelaide Invitational,14 MAR 2026,2026,1.0,C,Continental Tour,7232366,worldwide
men_TJ,Connor MURPHY,22 OCT 2001,16.2,0.7,AUS,"SA Athletic Stadium, Adelaide (AUS)",Adelaide Invitational,14 MAR 2026,2026,3.0,C,Continental Tour,7232366,worldwide
men_TJ,Connor MURPHY,22 OCT 2001,15.88,-1.3,AUS,"Lakeside Stadium, Melbourne (AUS)",Maurie Plant Meet,28 MAR 2026,2026,1.0,A,Continental Tour,7232016,worldwide
men_TJ,Shemaiah JAMES,12 JUL 1997,15.8,1.1,AUS,"Lakeside Stadium, Melbourne (AUS)",Maurie Plant Meet,28 MAR 2026,2026,2.0,A,Continental Tour,7232016,worldwide
men_TJ,Artem KONOVALENKO,11 MAY 2000,15.17,1.2,UKR,"Mike A. Myers Stadium, Austin, TX (USA)",Clyde Littlefield Texas Relays presented by Truist,03 APR 2026,2026,3.0,D,Continental Tour,7237530,worldwide
men_TJ,Cameron MILLER,,14.59,2.3,USA,"Cougar Athletic Stadium, Azusa, CA (USA)",Bryan Clay Invitational,17 APR 2026,2026,6.0,D,Continental Tour,7237976,worldwide
men_TJ,Cameron MILLER,,14.56,0.0,USA,"Cougar Athletic Stadium, Azusa, CA (USA)",Bryan Clay Invitational,17 APR 2026,2026,,D,Continental Tour,7237976,worldwide
men_TJ,Aiden HINSON,05 JUN 2003,16.23,-0.2,AUS,"Olympic Park, Sydney (AUS)",Australian Championships,11 APR 2026,2026,1.0,B,National Championships,7232772,worldwide
men_TJ,Shemaiah JAMES,12 JUL 1997,16.08,0.6,AUS,"Olympic Park, Sydney (AUS)",Australian Championships,11 APR 2026,2026,2.0,B,National Championships,7232772,worldwide
men_TJ,Welrè OLIVIER,04 NOV 2002,15.26,-1.8,NZL,"Coetzenburg Stadium, Stellenbosch (RSA)",South African Championships,18 APR 2026,2026,OC,B,National Championships,7237289,worldwide
men_TJ,Frixon David CHILA,18 AUG 2000,15.79,2.5,ECU,"La Vicentina, Quito (ECU)",Ecuadorean Championships,18 APR 2026,2026,1.,B,National Championships,7236979,worldwide
men_TJ,Frixon David CHILA,18 AUG 2000,15.5,-0.4,ECU,"La Vicentina, Quito (ECU)",Ecuadorean Championships,18 APR 2026,2026,,B,National Championships,7236979,worldwide
men_TJ,Rongjia ZHOU,12 FEB 2006,16.55,-0.4,CHN,"Zhaoqing Sports Center, Zhaoqing (CHN)",National Athletics Grand Prix 1,26 APR 2026,2026,1.,D,Continental Tour,7239297,worldwide
men_TJ,Tao SHEN,31 OCT 2003,16.01,0.9,CHN,"Zhaoqing Sports Center, Zhaoqing (CHN)",National Athletics Grand Prix 1,26 APR 2026,2026,3.,D,Continental Tour,7239297,worldwide
men_TJ,Zhuoyue WANG,12 JAN 2007,15.87,0.0,CHN,"Zhaoqing Sports Center, Zhaoqing (CHN)",National Athletics Grand Prix 1,26 APR 2026,2026,4.,D,Continental Tour,7239297,worldwide
men_TJ,Huafeng HUANG,27 DEC 2001,15.24,0.9,CHN,"Zhaoqing Sports Center, Zhaoqing (CHN)",National Athletics Grand Prix 1,26 APR 2026,2026,9.,D,Continental Tour,7239297,worldwide
men_TJ,Ruiting WU,29 NOV 1995,16.49,-0.4,CHN,"Municipal Stadium, Hiroshima (JPN)",60th Oda Mikio Memorial,29 APR 2026,2026,1.,C,Continental Tour,7238866,worldwide
men_TJ,Wen SU,10 FEB 1999,16.46,+0.5,CHN,"Municipal Stadium, Hiroshima (JPN)",60th Oda Mikio Memorial,29 APR 2026,2026,2.,C,Continental Tour,7238866,worldwide
men_TJ,Taiga ODA,31 MAR 1999,16.20,+3.7,JPN,"Municipal Stadium, Hiroshima (JPN)",60th Oda Mikio Memorial,29 APR 2026,2026,3.,C,Continental Tour,7238866,worldwide
men_TJ,Yun-Chen LI,02 OCT 2001,16.12,-0.4,TPE,"Municipal Stadium, Hiroshima (JPN)",60th Oda Mikio Memorial,29 APR 2026,2026,4.,C,Continental Tour,7238866,worldwide
men_TJ,Manato MIYAO,16 JUL 2004,16.07,+1.9,JPN,"Municipal Stadium, Hiroshima (JPN)",60th Oda Mikio Memorial,29 APR 2026,2026,5.,C,Continental Tour,7238866,worldwide
men_TJ,Yuto ADACHI,16 DEC 2000,15.98,+0.6,JPN,"Municipal Stadium, Hiroshima (JPN)",60th Oda Mikio Memorial,29 APR 2026,2026,6.,C,Continental Tour,7238866,worldwide
men_TJ,Yuki YAMASHITA,09 NOV 1995,15.75,+0.7,JPN,"Municipal Stadium, Hiroshima (JPN)",60th Oda Mikio Memorial,29 APR 2026,2026,7.,C,Continental Tour,7238866,worldwide
men_TJ,Ryoma YAMAMOTO,14 JUL 1995,15.15,+2.6,JPN,"Municipal Stadium, Hiroshima (JPN)",60th Oda Mikio Memorial,29 APR 2026,2026,11.,C,Continental Tour,7238866,worldwide
men_TJ,Taiga ODA,31 MAR 1999,15.76,+1.3,JPN,"Municipal Stadium, Hiroshima (JPN)",60th Oda Mikio Memorial,29 APR 2026,2026,,C,Continental Tour,7238866,worldwide
men_TJ,Ryoma YAMAMOTO,14 JUL 1995,14.57,+1.6,JPN,"Municipal Stadium, Hiroshima (JPN)",60th Oda Mikio Memorial,29 APR 2026,2026,,C,Continental Tour,7238866,worldwide
men_TJ,Henry KINER,16 JAN 2001,16.31,+2.1,USA,"LSU Bernie Moore Stadium, Baton Rouge, LA (USA)",LSU Invitational,02 MAY 2026,2026,1.,D,Continental Tour,7239723,worldwide
men_TJ,Sami BAKHEET,06 DEC 2005,NM,NWI,KSA,"King Fahd Sports City Stadium, Taif (KSA)",The Saudi Arabian Championships for Men,09 MAY 2026,2026,,B,National Championships,7237446,worldwide
men_TJ,Salim Saleh Mus AL YARABI,15 JAN 1994,15.09,+0.2,OMA,"King Fahd Sports City Stadium, Taif (KSA)",The Saudi Arabian Championships for Men,09 MAY 2026,2026,OC,B,National Championships,7237446,worldwide
men_TJ,Yinglong MA,11 MAY 2005,16.51,+0.5,CHN,"Sports Center, Jiaxing (CHN)",National Athletics Grand Prix 2,09 MAY 2026,2026,1.,D,Continental Tour,7239310,worldwide
men_TJ,Yaming ZHU,04 MAY 1994,16.44,+0.9,CHN,"Sports Center, Jiaxing (CHN)",National Athletics Grand Prix 2,09 MAY 2026,2026,2.,D,Continental Tour,7239310,worldwide
men_TJ,Yunfei WU,03 JUL 2001,16.04,+1.4,CHN,"Sports Center, Jiaxing (CHN)",National Athletics Grand Prix 2,09 MAY 2026,2026,3.,D,Continental Tour,7239310,worldwide
men_TJ,Pangshuai LI,09 APR 1992,16.00,+1.1,CHN,"Sports Center, Jiaxing (CHN)",National Athletics Grand Prix 2,09 MAY 2026,2026,4.,D,Continental Tour,7239310,worldwide
men_TJ,Yaoqing FANG,20 APR 1996,15.67,+1.0,CHN,"Sports Center, Jiaxing (CHN)",National Athletics Grand Prix 2,09 MAY 2026,2026,5.,D,Continental Tour,7239310,worldwide
men_TJ,Hetong XU,23 JAN 2005,15.13,+0.3,CHN,"Sports Center, Jiaxing (CHN)",National Athletics Grand Prix 2,09 MAY 2026,2026,6.,D,Continental Tour,7239310,worldwide
men_TJ,Jangwoo KIM,20 AUG 1999,16.63,+0.1,KOR,"Jeongseon Sports Complex, Jeongseon (KOR)",80th Korean Championships,13 MAY 2026,2026,1.,B,National Championships,7237613,worldwide
men_TJ,Gyumin YU,22 APR 2001,16.00,-0.2,KOR,"Jeongseon Sports Complex, Jeongseon (KOR)",80th Korean Championships,13 MAY 2026,2026,3.,B,National Championships,7237613,worldwide
men_TJ,Amath FAYE,03 FEB 1996,17.00,+2.6,SEN,"University of Ghana Sports Stadium, Accra (GHA)",African Athletics Championships,16 MAY 2026,2026,1.,GL,Area Champs,7238651,worldwide
men_TJ,Yoann AWHANSOU,06 OCT 1999,16.60,+3.5,BEN,"University of Ghana Sports Stadium, Accra (GHA)",African Athletics Championships,16 MAY 2026,2026,3.,GL,Area Champs,7238651,worldwide
