discipline,Competitor,DOB,Mark,WIND,Nat,Venue,Meeting,Date,year,Pos,tier,group,competitionId,source
women_100h,Michelle JENNEKE,23 JUN 1993,12.73,,AUS,"WA Athletics Stadium, Perth (AUS)",Perth Track Classic,14 FEB 2026,2026,1.0,C,Continental Tour,7232367,worldwide
women_100h,Miho SUZUKI,18 NOV 1996,13.53,,JPN,"Nga Puna Wai Sports Hub, Christchurch (NZL)",International Track Meet,21 FEB 2026,2026,1.0,C,Continental Tour,7230815,worldwide
women_100h,Maddie WILSON,05 APR 2002,14.48,,NZL,"Nga Puna Wai Sports Hub, Christchurch (NZL)",International Track Meet,21 FEB 2026,2026,4.0,C,Continental Tour,7230815,worldwide
women_100h,Alexis J. JAMES,09 APR 2004,13.19,,JAM,"National Stadium, Kingston (JAM)",Velocity Fest #18,21 MAR 2026,2026,1.0,D,Continental Tour,7237812,worldwide
women_100h,Michelle JENNEKE,23 JUN 1993,13.05,,AUS,"Lakeside Stadium, Melbourne (AUS)",Maurie Plant Meet,28 MAR 2026,2026,1.0,A,Continental Tour,7232016,worldwide
women_100h,Celeste MUCCI,11 AUG 1999,13.08,,AUS,"Lakeside Stadium, Melbourne (AUS)",Maurie Plant Meet,28 MAR 2026,2026,3.0,A,Continental Tour,7232016,worldwide
women_100h,Delta AMIDZOVSKI,23 AUG 2006,13.16,,AUS,"Lakeside Stadium, Melbourne (AUS)",Maurie Plant Meet,28 MAR 2026,2026,4.0,A,Continental Tour,7232016,worldwide
women_100h,Hitomi NAKAJIMA,13 JUL 1995,13.17,,JPN,"Lakeside Stadium, Melbourne (AUS)",Maurie Plant Meet,28 MAR 2026,2026,5.0,A,Continental Tour,7232016,worldwide
women_100h,Chisato KIYOYAMA,24 JUL 1991,13.23,,JPN,"Lakeside Stadium, Melbourne (AUS)",Maurie Plant Meet,28 MAR 2026,2026,6.0,A,Continental Tour,7232016,worldwide
women_100h,Rei HONDA,25 NOV 2001,13.46,,JPN,"Lakeside Stadium, Melbourne (AUS)",Maurie Plant Meet,28 MAR 2026,2026,8.0,A,Continental Tour,7232016,worldwide
women_100h,Akala GARRETT,10 MAY 2005,DNS,,USA,"Percy Beard Track, Gainesville, FL (USA)",Pepsi Florida Relays,04 APR 2026,2026,,D,Continental Tour,7235940,worldwide
women_100h,Kerrica HILL,06 MAR 2005,12.81,,JAM,"Ansin Sports Complex, Miramar, FL (USA)",Miramar Invitational,04 APR 2026,2026,1.0,B,Continental Tour,7236487,worldwide
women_100h,Alexandra WEBSTER,24 MAR 2002,12.86,,USA,"Ansin Sports Complex, Miramar, FL (USA)",Miramar Invitational,04 APR 2026,2026,2.0,B,Continental Tour,7236487,worldwide
women_100h,Demisha ROSWELL,19 JUN 1998,12.94,,JAM,"Ansin Sports Complex, Miramar, FL (USA)",Miramar Invitational,04 APR 2026,2026,3.0,B,Continental Tour,7236487,worldwide
women_100h,Adaobi TABUGBO,03 OCT 2001,13.03,,NGR,"Ansin Sports Complex, Miramar, FL (USA)",Miramar Invitational,04 APR 2026,2026,4.0,B,Continental Tour,7236487,worldwide
women_100h,Emma NWOFOR,22 AUG 1996,13.09,,GBR,"Ansin Sports Complex, Miramar, FL (USA)",Miramar Invitational,04 APR 2026,2026,5.0,B,Continental Tour,7236487,worldwide
women_100h,Gabriele CUNNINGHAM,22 FEB 1998,13.09,,USA,"Ansin Sports Complex, Miramar, FL (USA)",Miramar Invitational,04 APR 2026,2026,6.0,B,Continental Tour,7236487,worldwide
women_100h,Cortney JONES,18 JUN 1999,13.55,,USA,"Ansin Sports Complex, Miramar, FL (USA)",Miramar Invitational,04 APR 2026,2026,7.0,B,Continental Tour,7236487,worldwide
women_100h,Yasmin BROOKS,01 AUG 1999,13.61,,USA,"Ansin Sports Complex, Miramar, FL (USA)",Miramar Invitational,04 APR 2026,2026,8.0,B,Continental Tour,7236487,worldwide
women_100h,Marione FOURIE,30 APR 2002,12.67,,RSA,"McArthur Stadium, Potchefstroom (RSA)",Hezekiel Sepeng Invitational,08 APR 2026,2026,1.0,D,Continental Tour,7237627,worldwide
women_100h,Michelle JENNEKE,23 JUN 1993,12.74,,AUS,"Olympic Park, Sydney (AUS)",Australian Championships,12 APR 2026,2026,1.0,B,National Championships,7232772,worldwide
women_100h,Abbie TADDEO,08 FEB 1994,13.40,,AUS,"Olympic Park, Sydney (AUS)",Australian Championships,12 APR 2026,2026,4.0,B,National Championships,7232772,worldwide
women_100h,Celeste MUCCI,11 AUG 1999,DNF,,AUS,"Olympic Park, Sydney (AUS)",Australian Championships,12 APR 2026,2026,,B,National Championships,7232772,worldwide
women_100h,Marione FOURIE,30 APR 2002,12.69,,RSA,"Coetzenburg Stadium, Stellenbosch (RSA)",South African Championships,18 APR 2026,2026,1.0,B,National Championships,7237289,worldwide
women_100h,Tumi RAMOKGOPA,27 AUG 2007,13.13,,RSA,"Coetzenburg Stadium, Stellenbosch (RSA)",South African Championships,18 APR 2026,2026,2.0,B,National Championships,7237289,worldwide
women_100h,Gezelle MAGERMAN,21 APR 1997,23.03,,RSA,"Coetzenburg Stadium, Stellenbosch (RSA)",South African Championships,18 APR 2026,2026,8.0,B,National Championships,7237289,worldwide
women_100h,Maribel Vanessa CAICEDO,01 APR 1998,13.72,,ECU,"La Vicentina, Quito (ECU)",Ecuadorean Championships,18 APR 2026,2026,1.0,B,National Championships,7236979,worldwide
women_100h,Rayniah JONES,28 SEP 2001,13.14,,USA,"Addis Ababa Stadium, Addis Ababa (ETH)",Addis Ababa Grand Prix,18 APR 2026,2026,1.0,C,Continental Tour,7239468,worldwide
women_100h,Cyréna SAMBA-MAYELA,31 OCT 2000,13.65,,FRA,"Addis Ababa Stadium, Addis Ababa (ETH)",Addis Ababa Grand Prix,18 APR 2026,2026,2.0,C,Continental Tour,7239468,worldwide
