discipline,Competitor,DOB,Mark,WIND,Nat,Venue,Meeting,Date,year,Pos,tier,group,competitionId,source
women_1500m,Abbey CALDWELL,03 JUL 2001,4:02.82,,AUS,"WA Athletics Stadium, Perth (AUS)",Perth Track Classic,14 FEB 2026,2026,1.0,C,Continental Tour,7232367,worldwide
women_1500m,Nozomi TANAKA,04 SEP 1999,4:06.39,,JPN,"WA Athletics Stadium, Perth (AUS)",Perth Track Classic,14 FEB 2026,2026,2.0,C,Continental Tour,7232367,worldwide
women_1500m,Ksanet ALEM,27 JUN 2004,4:21.84,,ETH,"Ethiopian Sport Academy, Addis Ababa (ETH)",Ethiopian Championships,29 MAR 2026,2026,9.0,B,National Championships,7234052,worldwide
women_1500m,Alganesh BEREHE,,4:25.06,,ETH,"Ethiopian Sport Academy, Addis Ababa (ETH)",Ethiopian Championships,29 MAR 2026,2026,12.0,B,National Championships,7234052,worldwide
women_1500m,Claudia HOLLINGSWORTH,12 APR 2005,4:01.30,,AUS,"Lakeside Stadium, Melbourne (AUS)",Maurie Plant Meet,28 MAR 2026,2026,1.0,A,Continental Tour,7232016,worldwide
women_1500m,Georgia HUNTER BELL,17 OCT 1993,4:01.52,,GBR,"Lakeside Stadium, Melbourne (AUS)",Maurie Plant Meet,28 MAR 2026,2026,2.0,A,Continental Tour,7232016,worldwide
women_1500m,Sarah BILLINGS,07 MAR 1998,4:03.67,,AUS,"Lakeside Stadium, Melbourne (AUS)",Maurie Plant Meet,28 MAR 2026,2026,3.0,A,Continental Tour,7232016,worldwide
women_1500m,Linden HALL,20 JUN 1991,4:03.79,,AUS,"Lakeside Stadium, Melbourne (AUS)",Maurie Plant Meet,28 MAR 2026,2026,4.0,A,Continental Tour,7232016,worldwide
women_1500m,Diane VAN ES,22 MAR 1999,4:14.43,,NED,"Lakeside Stadium, Melbourne (AUS)",Maurie Plant Meet,28 MAR 2026,2026,9.0,A,Continental Tour,7232016,worldwide
women_1500m,Sophie O'SULLIVAN,23 DEC 2001,4:19.82,,IRL,"Lakeside Stadium, Melbourne (AUS)",Maurie Plant Meet,28 MAR 2026,2026,10.0,A,Continental Tour,7232016,worldwide
women_1500m,Gabrielle JENNINGS,15 SEP 1998,4:07.69,,USA,"JSerra Catholic HS, San Juan Capistrano, CA (USA)",The TEN,28 MAR 2026,2026,1.0,B,Continental Tour,7233290,worldwide
women_1500m,Mia BARNETT,04 SEP 2003,4:08.88,,SWE,"JSerra Catholic HS, San Juan Capistrano, CA (USA)",The TEN,28 MAR 2026,2026,2.0,B,Continental Tour,7233290,worldwide
women_1500m,Teagan SCHEIN-BECKER,04 APR 2000,4:12.23,,USA,"JSerra Catholic HS, San Juan Capistrano, CA (USA)",The TEN,28 MAR 2026,2026,4.0,B,Continental Tour,7233290,worldwide
women_1500m,Sadi HENDERSON,12 APR 1996,4:37.49,,USA,"JSerra Catholic HS, San Juan Capistrano, CA (USA)",The TEN,28 MAR 2026,2026,7.0,B,Continental Tour,7233290,worldwide
women_1500m,Oratile NOWE,20 MAY 2000,4:08.03,,BOT,"National Stadium, Gaborone (BOT)",Botswana Championships,05 APR 2026,2026,1.0,B,National Championships,7241518,worldwide
women_1500m,Michaela ROSE,13 JUN 2003,4:21.04,,USA,"Cougar Athletic Stadium, Azusa, CA (USA)",Bryan Clay Invitational,18 APR 2026,2026,10.0,D,Continental Tour,7237976,worldwide
women_1500m,Claudia HOLLINGSWORTH,12 APR 2005,4:17.06,,AUS,"Olympic Park, Sydney (AUS)",Australian Championships,10 APR 2026,2026,1.0,B,National Championships,7232772,worldwide
women_1500m,Sarah BILLINGS,07 MAR 1998,4:17.36,,AUS,"Olympic Park, Sydney (AUS)",Australian Championships,10 APR 2026,2026,2.0,B,National Championships,7232772,worldwide
women_1500m,Abbey CALDWELL,03 JUL 2001,4:17.40,,AUS,"Olympic Park, Sydney (AUS)",Australian Championships,10 APR 2026,2026,3.0,B,National Championships,7232772,worldwide
women_1500m,Georgia GRIFFITH,05 DEC 1996,4:18.18,,AUS,"Olympic Park, Sydney (AUS)",Australian Championships,10 APR 2026,2026,4.0,B,National Championships,7232772,worldwide
women_1500m,Lauren RYAN,15 MAR 1998,4:23.15,,AUS,"Olympic Park, Sydney (AUS)",Australian Championships,10 APR 2026,2026,8.0,B,National Championships,7232772,worldwide
women_1500m,Jessica HULL,22 OCT 1996,4:32.96,,AUS,"Olympic Park, Sydney (AUS)",Australian Championships,10 APR 2026,2026,12.0,B,National Championships,7232772,worldwide
women_1500m,Prudence SEKGODISO,05 JAN 2002,4:14.38,,RSA,"Coetzenburg Stadium, Stellenbosch (RSA)",South African Championships,18 APR 2026,2026,2.0,B,National Championships,7237289,worldwide
women_1500m,Micaela LEVAGGI,12 AUG 1998,4:18.56,,ARG,"CeNARD, Buenos Aires (ARG)",Challenger Continental Tour Ciudad de Buenos Aires,18 APR 2026,2026,1.0,D,Continental Tour,7239582,worldwide
women_1500m,Ksanet ALEM,27 JUN 2004,4:17.21,,ETH,"Addis Ababa Stadium, Addis Ababa (ETH)",Addis Ababa Grand Prix,18 APR 2026,2026,2.0,C,Continental Tour,7239468,worldwide
women_1500m,Alganesh BEREHE,,4:20.10,,ETH,"Addis Ababa Stadium, Addis Ababa (ETH)",Addis Ababa Grand Prix,18 APR 2026,2026,5.0,C,Continental Tour,7239468,worldwide
women_1500m,Katelyn STEWART-BARNETT,12 MAY 2003,4:13.68,,CAN,"Franklin Field, Philadelphia, PA (USA)",Penn Relay Carnival,23 APR 2026,2026,3.0,B,Continental Tour,7234852,worldwide
women_1500m,Peninah Muthoni MUTISYA,02 FEB 2004,4:27.53,,KEN,"Franklin Field, Philadelphia, PA (USA)",Penn Relay Carnival,23 APR 2026,2026,11.0,B,Continental Tour,7234852,worldwide
women_1500m,Mirriam CHEROP,25 JUN 1999,4:08.49,,KEN,"Nyayo National Stadium, Nairobi (KEN)",Kip Keino Classic,24 APR 2026,2026,1.0,A,Continental Tour,7233226,worldwide
women_1500m,Halimah NAKAAYI,16 OCT 1994,4:09.66,,UGA,"Nyayo National Stadium, Nairobi (KEN)",Kip Keino Classic,24 APR 2026,2026,3.0,A,Continental Tour,7233226,worldwide
women_1500m,Purity CHEPKIRUI,14 FEB 2003,4:11.09,,KEN,"Nyayo National Stadium, Nairobi (KEN)",Kip Keino Classic,24 APR 2026,2026,5.0,A,Continental Tour,7233226,worldwide
women_1500m,Winfred Nzisa MBITHE,30 MAY 1997,4:11.50,,KEN,"Nyayo National Stadium, Nairobi (KEN)",Kip Keino Classic,24 APR 2026,2026,6.0,A,Continental Tour,7233226,worldwide
women_1500m,Mary EKIRU,07 DEC 2000,DNF,,KEN,"Nyayo National Stadium, Nairobi (KEN)",Kip Keino Classic,24 APR 2026,2026,,A,Continental Tour,7233226,worldwide
women_1500m,Prudence SEKGODISO,05 JAN 2002,4:08.93,,RSA,"Pilditch Stadium, Pretoria (RSA)",Simbine Classic,28 APR 2026,2026,1.0,B,Continental Tour,7233329,worldwide
