discipline,Competitor,DOB,Mark,WIND,Nat,Venue,Meeting,Date,year,Pos,tier,group,competitionId,source
women_3000sc,Cara FEAIN-RYAN,05 FEB 1999,9:34.89,,AUS,"SA Athletic Stadium, Adelaide (AUS)",Adelaide Invitational,13 MAR 2026,2026,1.0,C,Continental Tour,7232366,worldwide
women_3000sc,Miu SAITO,22 JUN 2002,9:42.70,,JPN,"SA Athletic Stadium, Adelaide (AUS)",Adelaide Invitational,13 MAR 2026,2026,2.0,C,Continental Tour,7232366,worldwide
women_3000sc,Brielle ERBACHER,28 FEB 1999,10:05.43,,AUS,"SA Athletic Stadium, Adelaide (AUS)",Adelaide Invitational,13 MAR 2026,2026,4.0,C,Continental Tour,7232366,worldwide
women_3000sc,Kena TUFA,27 DEC 2005,9:39.38,,ETH,"Ethiopian Sport Academy, Addis Ababa (ETH)",Ethiopian Championships,25 MAR 2026,2026,1.0,B,National Championships,7234052,worldwide
women_3000sc,Firehiwot GESESE,01 JAN 2006,9:43.47,,ETH,"Ethiopian Sport Academy, Addis Ababa (ETH)",Ethiopian Championships,25 MAR 2026,2026,2.0,B,National Championships,7234052,worldwide
women_3000sc,Wosane ASEFA,03 JAN 2007,9:47.80,,ETH,"Ethiopian Sport Academy, Addis Ababa (ETH)",Ethiopian Championships,25 MAR 2026,2026,3.0,B,National Championships,7234052,worldwide
women_3000sc,Zeritu DABA,20 JAN 2006,10:01.98,,ETH,"Ethiopian Sport Academy, Addis Ababa (ETH)",Ethiopian Championships,25 MAR 2026,2026,7.0,B,National Championships,7234052,worldwide
women_3000sc,Aleminat WAL,,10:02.28,,ETH,"Ethiopian Sport Academy, Addis Ababa (ETH)",Ethiopian Championships,25 MAR 2026,2026,8.0,B,National Championships,7234052,worldwide
women_3000sc,Cara FEAIN-RYAN,05 FEB 1999,9:35.87,,AUS,"Olympic Park, Sydney (AUS)",Australian Championships,11 APR 2026,2026,1.0,B,National Championships,7232772,worldwide
women_3000sc,Brielle ERBACHER,28 FEB 1999,10:03.22,,AUS,"Olympic Park, Sydney (AUS)",Australian Championships,11 APR 2026,2026,2.0,B,National Championships,7232772,worldwide
women_3000sc,Amy CASHIN,28 JUL 1994,DNF,,AUS,"Olympic Park, Sydney (AUS)",Australian Championships,11 APR 2026,2026,,B,National Championships,7232772,worldwide
women_3000sc,Wosane ASEFA,03 JAN 2007,9:44.99,,ETH,"Addis Ababa Stadium, Addis Ababa (ETH)",Addis Ababa Grand Prix,18 APR 2026,2026,1.0,C,Continental Tour,7239468,worldwide
women_3000sc,Firehiwot GESESE,01 JAN 2006,9:59.68,,ETH,"Addis Ababa Stadium, Addis Ababa (ETH)",Addis Ababa Grand Prix,18 APR 2026,2026,4.0,C,Continental Tour,7239468,worldwide
women_3000sc,Zeritu DABA,20 JAN 2006,10:13.24,,ETH,"Addis Ababa Stadium, Addis Ababa (ETH)",Addis Ababa Grand Prix,18 APR 2026,2026,6.0,C,Continental Tour,7239468,worldwide
women_3000sc,Tigest Getent MEKONEN,07 JUL 1997,10:28.09,,BRN,"Addis Ababa Stadium, Addis Ababa (ETH)",Addis Ababa Grand Prix,18 APR 2026,2026,11.0,C,Continental Tour,7239468,worldwide
women_3000sc,Alemnat WALLE,29 JAN 2006,DNF,,ETH,"Addis Ababa Stadium, Addis Ababa (ETH)",Addis Ababa Grand Prix,18 APR 2026,2026,,C,Continental Tour,7239468,worldwide
women_3000sc,Angelina NAPOLEON,03 MAR 2005,9:37.72,,USA,"Franklin Field, Philadelphia, PA (USA)",Penn Relay Carnival,23 APR 2026,2026,1.0,B,Continental Tour,7234852,worldwide
women_3000sc,Debora CHERONO,,10:13.53,,KEN,"Franklin Field, Philadelphia, PA (USA)",Penn Relay Carnival,23 APR 2026,2026,9.0,B,Continental Tour,7234852,worldwide
women_3000sc,Zeritu DABA,20 JAN 2006,9:57.27,,ETH,"Nyayo National Stadium, Nairobi (KEN)",Kip Keino Classic,24 APR 2026,2026,2.0,A,Continental Tour,7233226,worldwide
women_3000sc,Sümeyye EROL,15 JUN 1997,10:11.46,,TUR,"Nyayo National Stadium, Nairobi (KEN)",Kip Keino Classic,24 APR 2026,2026,7.0,A,Continental Tour,7233226,worldwide
women_3000sc,Edna CHEPKEMOI,2002,10:14.35,,KEN,"LSU Bernie Moore Stadium, Baton Rouge, LA (USA)",LSU Invitational,02 MAY 2026,2026,1.0,D,Continental Tour,7239723,worldwide
women_3000sc,Miu SAITO,22 JUN 2002,9:31.83,,JPN,"Prefectural Shizuoka Stadium, Fukuroi (JPN)",41st Shizuoka International Athletics Meet,03 MAY 2026,2026,1.0,C,Continental Tour,7238867,worldwide
women_3000sc,Manami NISHIYAMA,09 DEC 1999,9:49.47,,JPN,"Prefectural Shizuoka Stadium, Fukuroi (JPN)",41st Shizuoka International Athletics Meet,03 MAY 2026,2026,2.0,C,Continental Tour,7238867,worldwide
women_3000sc,Yuzu NISHIDE,25 JAN 2000,9:55.82,,JPN,"Prefectural Shizuoka Stadium, Fukuroi (JPN)",41st Shizuoka International Athletics Meet,03 MAY 2026,2026,3.0,C,Continental Tour,7238867,worldwide
women_3000sc,Diana CHEPKEMOI,25 JAN 2005,9:29.19,,KEN,"University of Ghana Sports Stadium, Accra (GHA)",African Athletics Championships,17 MAY 2026,2026,1.0,GL,Area Champs,7238651,worldwide
women_3000sc,Wosane ASEFA,03 JAN 2007,9:41.76,,ETH,"University of Ghana Sports Stadium, Accra (GHA)",African Athletics Championships,17 MAY 2026,2026,4.0,GL,Area Champs,7238651,worldwide
women_3000sc,Rihab DHAHRI,09 SEP 2003,10:13.15,,TUN,"University of Ghana Sports Stadium, Accra (GHA)",African Athletics Championships,17 MAY 2026,2026,6.0,GL,Area Champs,7238651,worldwide
women_3000sc,Tigest Getent MEKONEN,07 JUL 1997,10:30.41,,BRN,"Suhaim bin Hamad Stadium, Doha (QAT)",GCC Games,16 MAY 2026,2026,1.0,D,Area Regional Champs,7238929,worldwide
women_3000sc,Cari HUGHES,15 MAR 1999,9:59.89,,GBR,"Atletiekbaan Brakkenstein, Nijmegen (NED)",Next Generation Athletics,16 MAY 2026,2026,1.0,D,Continental Tour,7234842,worldwide
women_3000sc,Brielle ERBACHER,28 FEB 1999,10:06.00,,AUS,"Arafura Stadium, Darwin (AUS)",Oceania Athletics Championships,20 MAY 2026,2026,1.0,GL,Area Champs,7216660,worldwide
women_3000sc,Amy CASHIN,28 JUL 1994,DNF,,AUS,"Arafura Stadium, Darwin (AUS)",Oceania Athletics Championships,20 MAY 2026,2026,,GL,Area Champs,7216660,worldwide
women_3000sc,Marta SERRANO,05 APR 2003,9:40.01,,ESP,"Boudewijnstadion, Bruxelles (BEL)",IFAM Outdoor,24 MAY 2026,2026,1.0,C,Continental Tour,7235003,worldwide
women_3000sc,Adia BUDDE,29 JUL 2005,9:41.76,,GER,"Boudewijnstadion, Bruxelles (BEL)",IFAM Outdoor,24 MAY 2026,2026,2.0,C,Continental Tour,7235003,worldwide
women_3000sc,Sümeyye EROL,15 JUN 1997,9:43.58,,TUR,"Boudewijnstadion, Bruxelles (BEL)",IFAM Outdoor,24 MAY 2026,2026,3.0,C,Continental Tour,7235003,worldwide
women_3000sc,Ava O'CONNOR,19 SEP 2003,9:53.16,,IRL,"Boudewijnstadion, Bruxelles (BEL)",IFAM Outdoor,24 MAY 2026,2026,7.0,C,Continental Tour,7235003,worldwide
women_3000sc,Marie BOUCHARD,07 DEC 1993,9:53.97,,FRA,"Boudewijnstadion, Bruxelles (BEL)",IFAM Outdoor,24 MAY 2026,2026,8.0,C,Continental Tour,7235003,worldwide
women_3000sc,Emily PARKER,11 SEP 2004,9:54.29,,GBR,"Boudewijnstadion, Bruxelles (BEL)",IFAM Outdoor,24 MAY 2026,2026,9.0,C,Continental Tour,7235003,worldwide
