discipline,Competitor,DOB,Mark,WIND,Nat,Venue,Meeting,Date,year,Pos,tier,group,competitionId,source
women_DT,Tatiana KAUMOANA,22 MAR 2000,55.59,,NZL,"Mitre10 Sports Park, Hastings (NZL)",Allan & Sylvia Potts Classic,17 JAN 2026,2026,1.0,D,Continental Tour,7231313,worldwide
women_DT,Taryn GOLLSHEWSKY,18 MAY 1993,55.95,,AUS,"WA Athletics Stadium, Perth (AUS)",Perth Track Classic,14 FEB 2026,2026,1.0,C,Continental Tour,7232367,worldwide
women_DT,Tatiana KAUMOANA,22 MAR 2000,58.26,,NZL,"Nga Puna Wai Sports Hub, Christchurch (NZL)",International Track Meet,21 FEB 2026,2026,1.0,C,Continental Tour,7230815,worldwide
women_DT,Taryn GOLLSHEWSKY,18 MAY 1993,57.46,,AUS,"Nga Puna Wai Sports Hub, Christchurch (NZL)",International Track Meet,21 FEB 2026,2026,2.0,C,Continental Tour,7230815,worldwide
women_DT,Tatiana KAUMOANA,22 MAR 2000,54.21,,NZL,"Douglas Track & Field, Auckland (NZL)",New Zealand Track & Field Championships,07 MAR 2026,2026,1.0,B,National Championships,7235518,worldwide
women_DT,Nanaka KORI,02 MAY 1997,56.46,,JPN,"SA Athletic Stadium, Adelaide (AUS)",Adelaide Invitational,14 MAR 2026,2026,1.0,C,Continental Tour,7232366,worldwide
women_DT,Taryn GOLLSHEWSKY,18 MAY 1993,55.59,,AUS,"SA Athletic Stadium, Adelaide (AUS)",Adelaide Invitational,14 MAR 2026,2026,2.0,C,Continental Tour,7232366,worldwide
women_DT,Monie NORA ATIM,06 APR 1997,53.12,,CMR,"SA Athletic Stadium, Adelaide (AUS)",Adelaide Invitational,14 MAR 2026,2026,4.0,C,Continental Tour,7232366,worldwide
women_DT,Samantha HALL,19 APR 1993,61.6,,JAM,"National Stadium, Kingston (JAM)",Velocity Fest #18,21 MAR 2026,2026,1.0,D,Continental Tour,7237812,worldwide
women_DT,Daisy OSAKUE,16 JAN 1996,57.94,,ITA,"Lakeside Stadium, Melbourne (AUS)",Maurie Plant Meet,28 MAR 2026,2026,1.,A,Continental Tour,7232016,worldwide
women_DT,Obiageri Pamela AMAECHI,12 MAR 1999,57.4,,NGR,"Lakeside Stadium, Melbourne (AUS)",Maurie Plant Meet,28 MAR 2026,2026,2.,A,Continental Tour,7232016,worldwide
women_DT,Monie NORA ATIM,06 APR 1997,56.79,,CMR,"Lakeside Stadium, Melbourne (AUS)",Maurie Plant Meet,28 MAR 2026,2026,3.,A,Continental Tour,7232016,worldwide
women_DT,Taryn GOLLSHEWSKY,18 MAY 1993,54.89,,AUS,"Lakeside Stadium, Melbourne (AUS)",Maurie Plant Meet,28 MAR 2026,2026,4.,A,Continental Tour,7232016,worldwide
women_DT,Tatiana KAUMOANA,22 MAR 2000,52.96,,NZL,"Lakeside Stadium, Melbourne (AUS)",Maurie Plant Meet,28 MAR 2026,2026,5.,A,Continental Tour,7232016,worldwide
women_DT,Milina WEPIWÉ,04 SEP 2005,53.92,,GER,"Mike A. Myers Stadium, Austin, TX (USA)",Clyde Littlefield Texas Relays presented by Truist,03 APR 2026,2026,2.,D,Continental Tour,7237530,worldwide
women_DT,Amori PIERSON,,47.67,,USA,"Mike A. Myers Stadium, Austin, TX (USA)",Clyde Littlefield Texas Relays presented by Truist,03 APR 2026,2026,10.,D,Continental Tour,7237530,worldwide
women_DT,Sofya SLUCHANINOVA,13 JUL 2004,52.67,,RUS,"Cougar Athletic Stadium, Azusa, CA (USA)",Bryan Clay Invitational,18 APR 2026,2026,2.,D,Continental Tour,7237976,worldwide
women_DT,Kristina RAKOČEVIĆ,13 JUN 1998,51.81,,MNE,"Cougar Athletic Stadium, Azusa, CA (USA)",Bryan Clay Invitational,18 APR 2026,2026,3.,D,Continental Tour,7237976,worldwide
women_DT,Taryn GOLLSHEWSKY,18 MAY 1993,54.96,,AUS,"Olympic Park, Sydney (AUS)",Australian Championships,12 APR 2026,2026,2.,B,National Championships,7232772,worldwide
women_DT,Tatiana KAUMOANA,22 MAR 2000,52.85,,NZL,"Olympic Park, Sydney (AUS)",Australian Championships,12 APR 2026,2026,OC,B,National Championships,7232772,worldwide
women_DT,Jorinde VAN KLINKEN,02 FEB 2000,70.99,,NED,"Millican Field at Throw Town, Ramona, OK (USA)",Oklahoma Throws Series World Invitational,11 APR 2026,2026,2.,C,Continental Tour,7236488,worldwide
women_DT,Alida VAN DAALEN,12 APR 2002,69.17,,NED,"Millican Field at Throw Town, Ramona, OK (USA)",Oklahoma Throws Series World Invitational,11 APR 2026,2026,3.,C,Continental Tour,7236488,worldwide
women_DT,Cierra JACKSON,28 AUG 2002,67.25,,USA,"Millican Field at Throw Town, Ramona, OK (USA)",Oklahoma Throws Series World Invitational,11 APR 2026,2026,4.,C,Continental Tour,7236488,worldwide
women_DT,Veronica FRALEY,27 MAY 2000,67.01,,USA,"Millican Field at Throw Town, Ramona, OK (USA)",Oklahoma Throws Series World Invitational,11 APR 2026,2026,5.,C,Continental Tour,7236488,worldwide
women_DT,Samantha HALL,19 APR 1993,66.39,,JAM,"Millican Field at Throw Town, Ramona, OK (USA)",Oklahoma Throws Series World Invitational,11 APR 2026,2026,6.,C,Continental Tour,7236488,worldwide
women_DT,Marike STEINACKER,03 APR 1992,63.99,,GER,"Millican Field at Throw Town, Ramona, OK (USA)",Oklahoma Throws Series World Invitational,11 APR 2026,2026,7.,C,Continental Tour,7236488,worldwide
women_DT,Gabi JACOBS,20 AUG 1996,62.76,,USA,"Millican Field at Throw Town, Ramona, OK (USA)",Oklahoma Throws Series World Invitational,11 APR 2026,2026,8.,C,Continental Tour,7236488,worldwide
women_DT,Karen GALLARDO,06 MAR 1984,48.38,,CHI,"Pista Atlética Mario Recordón, Santiago de Chile (CHI)",Chilean Championships,11 APR 2026,2026,1.,B,National Championships,7236143,worldwide
women_DT,Subenrat INSAENG,10 FEB 1994,56.7,,THA,"The Kallang - Singapore Sports Hub, Singapore (SGP)",86th Singaporean Championships,16 APR 2026,2026,OC,B,National Championships,7240277,worldwide
women_DT,Yujin SIN,12 MAR 2002,52.68,,KOR,"The Kallang - Singapore Sports Hub, Singapore (SGP)",86th Singaporean Championships,16 APR 2026,2026,OC,B,National Championships,7240277,worldwide
