discipline,Competitor,DOB,Mark,WIND,Nat,Venue,Meeting,Date,year,Pos,tier,group,competitionId,source
women_HJ,Maddie WILSON,05 APR 2002,1.85,,NZL,"Cooks Gardens, Whanganui (NZL)",Pak'n Save Cooks International Classic,24 JAN 2026,2026,1.0,C,Continental Tour,7230813,worldwide
women_HJ,Imogen SKELTON,15 OCT 2000,1.82,,NZL,"Cooks Gardens, Whanganui (NZL)",Pak'n Save Cooks International Classic,24 JAN 2026,2026,2.0,C,Continental Tour,7230813,worldwide
women_HJ,Imogen SKELTON,15 OCT 2000,1.81,,NZL,"Nga Puna Wai Sports Hub, Christchurch (NZL)",International Track Meet,21 FEB 2026,2026,1.0,C,Continental Tour,7230815,worldwide
women_HJ,Maddie WILSON,05 APR 2002,1.77,,NZL,"Nga Puna Wai Sports Hub, Christchurch (NZL)",International Track Meet,21 FEB 2026,2026,3.0,C,Continental Tour,7230815,worldwide
women_HJ,Izobelle LOUISON-ROE,14 MAY 2007,1.93,,AUS,"Domain Athletic Centre, Hobart (AUS)",Hobart Track Classic,28 FEB 2026,2026,1.0,C,Continental Tour,7232365,worldwide
women_HJ,Emily WHELAN,10 JAN 2000,1.75,,AUS,"Domain Athletic Centre, Hobart (AUS)",Hobart Track Classic,28 FEB 2026,2026,3.0,C,Continental Tour,7232365,worldwide
women_HJ,Imogen SKELTON,15 OCT 2000,1.81,,NZL,"Douglas Track & Field, Auckland (NZL)",New Zealand Track & Field Championships,08 MAR 2026,2026,1.0,B,National Championships,7235518,worldwide
women_HJ,Nicola OLYSLAGERS,28 DEC 1996,1.95,,AUS,"Lakeside Stadium, Melbourne (AUS)",Maurie Plant Meet,28 MAR 2026,2026,1.0,A,Continental Tour,7232016,worldwide
women_HJ,Izobelle LOUISON-ROE,14 MAY 2007,1.95,,AUS,"Lakeside Stadium, Melbourne (AUS)",Maurie Plant Meet,28 MAR 2026,2026,2.0,A,Continental Tour,7232016,worldwide
women_HJ,Nagisa TAKAHASHI,15 JAN 2000,1.82,,JPN,"Lakeside Stadium, Melbourne (AUS)",Maurie Plant Meet,28 MAR 2026,2026,3.0,A,Continental Tour,7232016,worldwide
women_HJ,Emily WHELAN,10 JAN 2000,1.82,,AUS,"Lakeside Stadium, Melbourne (AUS)",Maurie Plant Meet,28 MAR 2026,2026,4.0,A,Continental Tour,7232016,worldwide
women_HJ,Imogen SKELTON,15 OCT 2000,1.82,,NZL,"Lakeside Stadium, Melbourne (AUS)",Maurie Plant Meet,28 MAR 2026,2026,5.0,A,Continental Tour,7232016,worldwide
