discipline,Competitor,DOB,Mark,WIND,Nat,Venue,Meeting,Date,year,Pos,tier,group,competitionId,source
women_HT,Lauren BRUCE,23 MAR 1997,70.93,,NZL,"Cooks Gardens, Whanganui (NZL)",Pak'n Save Cooks International Classic,24 JAN 2026,2026,1.0,C,Continental Tour,7230813,worldwide
women_HT,Yipsi MORENO,19 NOV 1980,64.78,,ALB,"Suez Canal Authority Stadium, Ismailia (EGY)",Egypt Winter Cup,23 FEB 2026,2026,1.0,D,Continental Tour,7237631,worldwide
women_HT,Zsanett NÉMETH,19 DEC 2000,64.7,,HUN,"Suez Canal Authority Stadium, Ismailia (EGY)",Egypt Winter Cup,23 FEB 2026,2026,2.0,D,Continental Tour,7237631,worldwide
women_HT,Rawan AYMAN IBRAHIM BARAKAT,17 JUL 2001,61.11,,EGY,"Suez Canal Authority Stadium, Ismailia (EGY)",Egypt Winter Cup,23 FEB 2026,2026,3.0,D,Continental Tour,7237631,worldwide
women_HT,Lauren BRUCE,23 MAR 1997,69.12,,NZL,"Domain Athletic Centre, Hobart (AUS)",Hobart Track Classic,28 FEB 2026,2026,1.0,C,Continental Tour,7232365,worldwide
women_HT,Stephanie RATCLIFFE,29 DEC 2000,67.1,,AUS,"Domain Athletic Centre, Hobart (AUS)",Hobart Track Classic,28 FEB 2026,2026,2.0,C,Continental Tour,7232365,worldwide
women_HT,Lauren BRUCE,23 MAR 1997,68.95,,NZL,"Douglas Track & Field, Auckland (NZL)",New Zealand Track & Field Championships,05 MAR 2026,2026,1.0,B,National Championships,7235518,worldwide
women_HT,Camryn ROGERS,07 JUN 1999,81.13,,CAN,"Mike A. Myers Stadium, Austin, TX (USA)",Clyde Littlefield Texas Relays presented by Truist,02 APR 2026,2026,1.0,D,Continental Tour,7237530,worldwide
women_HT,Anna PURCHASE,15 SEP 1999,72.63,,GBR,"Mike A. Myers Stadium, Austin, TX (USA)",Clyde Littlefield Texas Relays presented by Truist,02 APR 2026,2026,2.0,D,Continental Tour,7237530,worldwide
women_HT,Elísabet Rut RÚNARSDÓTTIR,28 NOV 2002,69.89,,ISL,"Mike A. Myers Stadium, Austin, TX (USA)",Clyde Littlefield Texas Relays presented by Truist,02 APR 2026,2026,3.0,D,Continental Tour,7237530,worldwide
women_HT,Giavonna MEEKS,28 JUL 2004,67.42,,USA,"Mike A. Myers Stadium, Austin, TX (USA)",Clyde Littlefield Texas Relays presented by Truist,02 APR 2026,2026,4.0,D,Continental Tour,7237530,worldwide
women_HT,Stephanie RATCLIFFE,29 DEC 2000,67.71,,AUS,"Olympic Park, Sydney (AUS)",Australian Championships,10 APR 2026,2026,1.0,B,National Championships,7232772,worldwide
women_HT,Lara ROBERTS,07 NOV 2003,65.51,,AUS,"Olympic Park, Sydney (AUS)",Australian Championships,10 APR 2026,2026,2.0,B,National Championships,7232772,worldwide
women_HT,Camryn ROGERS,07 JUN 1999,79.63,,CAN,"Millican Field at Throw Town, Ramona, OK (USA)",Oklahoma Throws Series World Invitational,10 APR 2026,2026,1.0,C,Continental Tour,7236488,worldwide
women_HT,Rachel RICHESON,27 SEP 1999,78.3,,USA,"Millican Field at Throw Town, Ramona, OK (USA)",Oklahoma Throws Series World Invitational,10 APR 2026,2026,2.0,C,Continental Tour,7236488,worldwide
women_HT,Jalani DAVIS,23 MAY 2001,70.06,,USA,"Millican Field at Throw Town, Ramona, OK (USA)",Oklahoma Throws Series World Invitational,10 APR 2026,2026,3.0,C,Continental Tour,7236488,worldwide
women_HT,Anna PURCHASE,15 SEP 1999,68.41,,GBR,"Millican Field at Throw Town, Ramona, OK (USA)",Oklahoma Throws Series World Invitational,10 APR 2026,2026,4.0,C,Continental Tour,7236488,worldwide
women_HT,Emma ROBBINS,13 DEC 2000,65.89,,USA,"Millican Field at Throw Town, Ramona, OK (USA)",Oklahoma Throws Series World Invitational,10 APR 2026,2026,5.0,C,Continental Tour,7236488,worldwide
women_HT,Mariana WALKER,19 MAR 1999,65.16,,CHI,"Pista Atlética Mario Recordón, Santiago de Chile (CHI)",Chilean Championships,10 APR 2026,2026,1.0,B,National Championships,7236143,worldwide
women_HT,Ya-Chien YU,20 APR 1999,66.89,,TPE,"Home of Athletics, Singapore (SGP)",86th Singaporean Championships - Shot Put & Hammer Throw,17 APR 2026,2026,OC,B,National Championships,7240716,worldwide
women_HT,Leandri HOLTZHAUSEN,14 JUL 1997,67.70,,RSA,"Coetzenburg Stadium, Stellenbosch (RSA)",South African Championships,17 APR 2026,2026,1.,B,National Championships,7237289,worldwide
