discipline,Competitor,DOB,Mark,WIND,Nat,Venue,Meeting,Date,year,Pos,tier,group,competitionId,source
women_JT,Mackenzie MIELCZAREK,06 FEB 2003,56.07,,AUS,"Douglas Track & Field, Auckland (NZL)",Sir Graeme Douglas International,08 FEB 2026,2026,1.0,C,Continental Tour,7230814,worldwide
women_JT,Tori MOORBY,17 MAY 1994,58.78,,NZL,"Douglas Track & Field, Auckland (NZL)",New Zealand Track & Field Championships,06 MAR 2026,2026,1.0,B,National Championships,7235518,worldwide
women_JT,Tori MOORBY,17 MAY 1994,58.69,,NZL,"SA Athletic Stadium, Adelaide (AUS)",Adelaide Invitational,13 MAR 2026,2026,1.0,C,Continental Tour,7232366,worldwide
women_JT,Sae TAKEMOTO,23 NOV 1999,58.42,,JPN,"SA Athletic Stadium, Adelaide (AUS)",Adelaide Invitational,13 MAR 2026,2026,2.0,C,Continental Tour,7232366,worldwide
women_JT,Mackenzie MIELCZAREK,06 FEB 2003,56.82,,AUS,"SA Athletic Stadium, Adelaide (AUS)",Adelaide Invitational,13 MAR 2026,2026,3.0,C,Continental Tour,7232366,worldwide
women_JT,Yuki YAMAMOTO,16 OCT 2000,50.12,,JPN,"SA Athletic Stadium, Adelaide (AUS)",Adelaide Invitational,13 MAR 2026,2026,5.0,C,Continental Tour,7232366,worldwide
women_JT,JaiCieonna GERO-HOLT,02 DEC 2006,36.06,,USA,"Percy Beard Track, Gainesville, FL (USA)",Pepsi Florida Relays,04 APR 2026,2026,8.0,D,Continental Tour,7235940,worldwide
women_JT,Jo-Ane DU PLESSIS,03 OCT 1997,57.54,,RSA,"McArthur Stadium, Potchefstroom (RSA)",Hezekiel Sepeng Invitational,08 APR 2026,2026,1.0,D,Continental Tour,7237627,worldwide
women_JT,Federica BOTTER,23 JAN 2001,54.37,,ITA,"Cougar Athletic Stadium, Azusa, CA (USA)",Bryan Clay Invitational,18 APR 2026,2026,1.0,D,Continental Tour,7237976,worldwide
women_JT,Mackenzie LITTLE,22 DEC 1996,58.76,,AUS,"Olympic Park, Sydney (AUS)",Australian Championships,11 APR 2026,2026,1.0,B,National Championships,7232772,worldwide
women_JT,Lianna DAVIDSON,08 NOV 2002,58.28,,AUS,"Olympic Park, Sydney (AUS)",Australian Championships,11 APR 2026,2026,2.0,B,National Championships,7232772,worldwide
women_JT,Mackenzie MIELCZAREK,06 FEB 2003,57.47,,AUS,"Olympic Park, Sydney (AUS)",Australian Championships,11 APR 2026,2026,3.0,B,National Championships,7232772,worldwide
women_JT,Madison WILTROUT,04 JUN 1999,58.65,,USA,"Millican Field at Throw Town, Ramona, OK (USA)",Oklahoma Throws Series World Invitational,10 APR 2026,2026,1.0,C,Continental Tour,7236488,worldwide
women_JT,Rhema OTABOR,03 DEC 2002,56.54,,BAH,"Millican Field at Throw Town, Ramona, OK (USA)",Oklahoma Throws Series World Invitational,10 APR 2026,2026,2.0,C,Continental Tour,7236488,worldwide
women_JT,Madelyn HARRIS,02 NOV 2000,55.88,,USA,"Millican Field at Throw Town, Ramona, OK (USA)",Oklahoma Throws Series World Invitational,10 APR 2026,2026,3.0,C,Continental Tour,7236488,worldwide
women_JT,Sarah BLAKE,30 JUN 1997,53.14,,USA,"Millican Field at Throw Town, Ramona, OK (USA)",Oklahoma Throws Series World Invitational,10 APR 2026,2026,4.0,C,Continental Tour,7236488,worldwide
