discipline,Competitor,DOB,Mark,WIND,Nat,Venue,Meeting,Date,year,Pos,tier,group,competitionId,source
women_PV,Eliza MCCARTNEY,11 DEC 1996,4.63,,NZL,"Douglas Track & Field, Auckland (NZL)",Sir Graeme Douglas International,08 FEB 2026,2026,1.0,C,Continental Tour,7230814,worldwide
women_PV,Nina KENNEDY,05 APR 1997,4.47,,AUS,"WA Athletics Stadium, Perth (AUS)",Perth Track Classic,14 FEB 2026,2026,1.0,C,Continental Tour,7232367,worldwide
women_PV,Misaki MOROTA,06 OCT 1998,4.37,,JPN,"WA Athletics Stadium, Perth (AUS)",Perth Track Classic,14 FEB 2026,2026,2.0,C,Continental Tour,7232367,worldwide
women_PV,Eliza MCCARTNEY,11 DEC 1996,4.81,,NZL,"Douglas Track & Field, Auckland (NZL)",New Zealand Track & Field Championships,07 MAR 2026,2026,1.0,B,National Championships,7235518,worldwide
women_PV,Nina KENNEDY,05 APR 1997,4.72,,AUS,"Lakeside Stadium, Melbourne (AUS)",Maurie Plant Meet,28 MAR 2026,2026,1.0,A,Continental Tour,7232016,worldwide
women_PV,Hana MOLL,31 JAN 2005,4.56,,USA,"Lakeside Stadium, Melbourne (AUS)",Maurie Plant Meet,28 MAR 2026,2026,2.0,A,Continental Tour,7232016,worldwide
women_PV,Amanda MOLL,31 JAN 2005,4.36,,USA,"Lakeside Stadium, Melbourne (AUS)",Maurie Plant Meet,28 MAR 2026,2026,3.0,A,Continental Tour,7232016,worldwide
women_PV,Misaki MOROTA,06 OCT 1998,3.91,,JPN,"Lakeside Stadium, Melbourne (AUS)",Maurie Plant Meet,28 MAR 2026,2026,5.0,A,Continental Tour,7232016,worldwide
women_PV,Alencia LENTZ,05 APR 2005,4.2,,USA,"Mike A. Myers Stadium, Austin, TX (USA)",Clyde Littlefield Texas Relays presented by Truist,02 APR 2026,2026,2.0,D,Continental Tour,7237530,worldwide
women_PV,Hannah GRACE,29 MAY 2007,4.45,,USA,"Percy Beard Track, Gainesville, FL (USA)",Pepsi Florida Relays,04 APR 2026,2026,1.0,D,Continental Tour,7235940,worldwide
women_PV,Jathiyah MUHAMMAD,01 JAN 2006,4.35,,USA,"Percy Beard Track, Gainesville, FL (USA)",Pepsi Florida Relays,04 APR 2026,2026,2.0,D,Continental Tour,7235940,worldwide
women_PV,Payton PHILLIPS,,4.35,,USA,"Percy Beard Track, Gainesville, FL (USA)",Pepsi Florida Relays,04 APR 2026,2026,3.0,D,Continental Tour,7235940,worldwide
women_PV,Mia MORELLO,04 MAY 2004,4.25,,USA,"Percy Beard Track, Gainesville, FL (USA)",Pepsi Florida Relays,04 APR 2026,2026,4.0,D,Continental Tour,7235940,worldwide
women_PV,Alyssa QUINONES-MIXON,2004,4.25,,PUR,"Percy Beard Track, Gainesville, FL (USA)",Pepsi Florida Relays,04 APR 2026,2026,5.0,D,Continental Tour,7235940,worldwide
women_PV,Anastasia RETSA,07 NOV 2003,3.9,,GRE,"Percy Beard Track, Gainesville, FL (USA)",Pepsi Florida Relays,04 APR 2026,2026,8.0,D,Continental Tour,7235940,worldwide
women_PV,Heather ABADIE,21 FEB 2003,4.2,,CAN,"Cushing Stadium, College Station, TX (USA)",44 Farms Team Invitational,09 APR 2026,2026,2.0,D,Continental Tour,7230712,worldwide
women_PV,Eva LOWDER,02 APR 2005,4.35,,USA,"Cougar Athletic Stadium, Azusa, CA (USA)",Bryan Clay Invitational,18 APR 2026,2026,1.0,D,Continental Tour,7237976,worldwide
