discipline,Competitor,DOB,Mark,WIND,Nat,Venue,Meeting,Date,year,Pos,tier,group,competitionId,source
women_SP,Maddie WILSON,05 APR 2002,11.97,,NZL,"Cooks Gardens, Whanganui (NZL)",Pak'n Save Cooks International Classic,24 JAN 2026,2026,1.0,C,Continental Tour,7230813,worldwide
women_SP,Lauren BRUCE,23 MAR 1997,11.77,,NZL,"Cooks Gardens, Whanganui (NZL)",Pak'n Save Cooks International Classic,24 JAN 2026,2026,2.0,C,Continental Tour,7230813,worldwide
women_SP,Maddie WILSON,05 APR 2002,12.41,,NZL,"Douglas Track & Field, Auckland (NZL)",Sir Graeme Douglas International,08 FEB 2026,2026,3.0,C,Continental Tour,7230814,worldwide
women_SP,Maddison-Lee WESCHE,13 JUN 1999,17.67,,NZL,"Douglas Track & Field, Auckland (NZL)",New Zealand Track & Field Championships,07 MAR 2026,2026,1.0,B,National Championships,7235518,worldwide
women_SP,Danniel THOMAS-DODD,11 NOV 1992,19.12,,JAM,"Ansin Sports Complex, Miramar, FL (USA)",Miramar Invitational,04 APR 2026,2026,1.0,B,Continental Tour,7236487,worldwide
women_SP,Adelaide AQUILLA,03 MAR 1999,18.48,,USA,"Ansin Sports Complex, Miramar, FL (USA)",Miramar Invitational,04 APR 2026,2026,2.0,B,Continental Tour,7236487,worldwide
women_SP,Lloydricia CAMERON,08 APR 1996,18.41,,JAM,"Ansin Sports Complex, Miramar, FL (USA)",Miramar Invitational,04 APR 2026,2026,3.0,B,Continental Tour,7236487,worldwide
women_SP,Jessica RAMSEY,26 JUL 1991,17.84,,USA,"Ansin Sports Complex, Miramar, FL (USA)",Miramar Invitational,04 APR 2026,2026,4.0,B,Continental Tour,7236487,worldwide
women_SP,Divine OLADIPO,05 OCT 1998,15.25,,NGR,"Ansin Sports Complex, Miramar, FL (USA)",Miramar Invitational,04 APR 2026,2026,5.0,B,Continental Tour,7236487,worldwide
women_SP,Maggie EWEN,23 SEP 1994,DNS,,USA,"Ansin Sports Complex, Miramar, FL (USA)",Miramar Invitational,04 APR 2026,2026,,B,Continental Tour,7236487,worldwide
women_SP,Colette UYS,20 APR 2000,17.20,,RSA,"McArthur Stadium, Potchefstroom (RSA)",Hezekiel Sepeng Invitational,08 APR 2026,2026,1.0,D,Continental Tour,7237627,worldwide
women_SP,Lilian TURBAN,25 SEP 2001,14.42,,EST,"Cougar Athletic Stadium, Azusa, CA (USA)",Bryan Clay Invitational,18 APR 2026,2026,6.0,D,Continental Tour,7237976,worldwide
