discipline,Competitor,DOB,Mark,WIND,Nat,Venue,Meeting,Date,year,Pos,tier,group,competitionId,source
women_TJ,Izobelle LOUISON-ROE,14 MAY 2007,13.47,2.5,AUS,"WA Athletics Stadium, Perth (AUS)",Perth Track Classic,14 FEB 2026,2026,1.0,C,Continental Tour,7232367,worldwide
women_TJ,Desleigh OWUSU,20 SEP 2001,13.45,3.3,AUS,"WA Athletics Stadium, Perth (AUS)",Perth Track Classic,14 FEB 2026,2026,2.0,C,Continental Tour,7232367,worldwide
women_TJ,Brooke BUSCHKUEHL,12 JUL 1993,12.79,2.3,AUS,"WA Athletics Stadium, Perth (AUS)",Perth Track Classic,14 FEB 2026,2026,3.0,C,Continental Tour,7232367,worldwide
women_TJ,Desleigh OWUSU,20 SEP 2001,13.31,1.0,AUS,"WA Athletics Stadium, Perth (AUS)",Perth Track Classic,14 FEB 2026,2026,,C,Continental Tour,7232367,worldwide
women_TJ,Izobelle LOUISON-ROE,14 MAY 2007,13.3,0.3,AUS,"WA Athletics Stadium, Perth (AUS)",Perth Track Classic,14 FEB 2026,2026,,C,Continental Tour,7232367,worldwide
women_TJ,Brooke BUSCHKUEHL,12 JUL 1993,12.68,1.8,AUS,"WA Athletics Stadium, Perth (AUS)",Perth Track Classic,14 FEB 2026,2026,,C,Continental Tour,7232367,worldwide
women_TJ,Maoko TAKASHIMA,07 JUL 1999,13.48,-1.9,JPN,"Nga Puna Wai Sports Hub, Christchurch (NZL)",International Track Meet,21 FEB 2026,2026,1.0,C,Continental Tour,7230815,worldwide
women_TJ,Desleigh OWUSU,20 SEP 2001,13.43,1.1,AUS,"SA Athletic Stadium, Adelaide (AUS)",Adelaide Invitational,13 MAR 2026,2026,1.0,C,Continental Tour,7232366,worldwide
women_TJ,Desleigh OWUSU,20 SEP 2001,13.58,0.4,AUS,"Olympic Park, Sydney (AUS)",Australian Championships,10 APR 2026,2026,1.,B,National Championships,7232772,worldwide
women_TJ,Maria Natalia LONDA,29 OCT 1990,12.94,0.0,INA,"The Kallang - Singapore Sports Hub, Singapore (SGP)",86th Singaporean Championships,17 APR 2026,2026,OC,B,National Championships,7240277,worldwide
women_TJ,Zinzi XULU,28 SEP 1996,12.90,+0.1,RSA,"Coetzenburg Stadium, Stellenbosch (RSA)",South African Championships,17 APR 2026,2026,1.,B,National Championships,7237289,worldwide
women_TJ,Alexis BROWN,,12.32,+1.2,USA,"Franklin Field, Philadelphia, PA (USA)",Penn Relay Carnival,23 APR 2026,2026,4.,B,Continental Tour,7234852,worldwide
women_TJ,Yi LI,26 NOV 2005,13.68,+0.3,CHN,"Zhaoqing Sports Center, Zhaoqing (CHN)",National Athletics Grand Prix 1,26 APR 2026,2026,1.,D,Continental Tour,7239297,worldwide
women_TJ,Jingjing LIN,18 MAY 2002,13.42,0.0,CHN,"Zhaoqing Sports Center, Zhaoqing (CHN)",National Athletics Grand Prix 1,26 APR 2026,2026,3.,D,Continental Tour,7239297,worldwide
women_TJ,Ting CHEN,28 AUG 1997,13.38,+0.5,CHN,"Zhaoqing Sports Center, Zhaoqing (CHN)",National Athletics Grand Prix 1,26 APR 2026,2026,4.,D,Continental Tour,7239297,worldwide
women_TJ,Shuiqing CHEN,12 APR 2000,13.01,+0.4,CHN,"Zhaoqing Sports Center, Zhaoqing (CHN)",National Athletics Grand Prix 1,26 APR 2026,2026,5.,D,Continental Tour,7239297,worldwide
women_TJ,Yang YANG,23 AUG 2001,NM,NWI,CHN,"Zhaoqing Sports Center, Zhaoqing (CHN)",National Athletics Grand Prix 1,26 APR 2026,2026,,D,Continental Tour,7239297,worldwide
women_TJ,Jie CHEN,02 MAR 1998,NM,NWI,CHN,"Zhaoqing Sports Center, Zhaoqing (CHN)",National Athletics Grand Prix 1,26 APR 2026,2026,,D,Continental Tour,7239297,worldwide
women_TJ,Hui ZHOU,08 JAN 2006,13.64,+1.0,CHN,"Municipal Stadium, Hiroshima (JPN)",60th Oda Mikio Memorial,29 APR 2026,2026,1.,C,Continental Tour,7238866,worldwide
